(+)-Bornane-2,5-dione	CC1(C2CC(=O)C1(CC2=O)C)C
1,4-Dihydroxy-2-naphthoate	C1=CC=C2C(=C1)C(=CC(=C2[O-])C(=O)O)O
1,4-Dihydroxy-2-naphthoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=C(C5=CC=CC=C5C(=C4)O)O)O
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O
1-(5-Phospho-D-ribosyl)-ATP	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=CN(C2=N)C4C(C(C(O4)COP(=O)(O)O)O)O
1-Acyl-sn-glycerol 3-phosphate	
1-Butanol	CCCCO
1-Carboxyvinyl carboxyphosphonate	C=C(C(=O)O)OP(=O)(C(=O)O)O
1-Deoxy-D-xylulose_5-phosphate	
1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene	C1=CC2=C(C=CC(C2SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O)C(=C1)[N+](=O)[O-]
1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene	C1=CC2=C(C=CC(C2O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=C1)[N+](=O)[O-]
1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene	C1=CC2=C(C(C(C=C2)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O)C(=C1)[N+](=O)[O-]
1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene	C1=CC2=C(C(C(C=C2)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=C1)[N+](=O)[O-]
1-Nitronaphthalene-5,6-oxide	C1=CC2=C(C=CC3C2O3)C(=C1)[N+](=O)[O-]
1-Nitronaphthalene-7,8-oxide	C1=CC2=C(C3C(O3)C=C2)C(=C1)[N+](=O)[O-]
1-Palmitoylglycerol 3-phosphate	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)O
1-Phospho-alpha-D-galacturonate	C1(C(C(OC(C1O)OP(=O)(O)O)C(=O)O)O)O
10-Formyltetrahydrofolate	C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
12'-apo-Carotenal	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=O)C)C
13(1)-Hydroxy-magnesium-protoporphyrin_IX_13-monomethyl_ester	
13(1)-Oxo-magnesium-protoporphyrin_IX_13-monomethyl_ester	
15(S)-HPETE	CCCCCC(C=CC=CCC=CCC=CCCCC(=O)O)OO
15,9'-dicis-Phytofluene	CC(=CCCC(=CCCC(=CCCC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C
15-cis-Phytoene	CC(=CCCC(=CCCC(=CCCC(=CC=CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C
1D-myo-Inositol 3-phosphate	C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
2,2-Dichloroacetaldehyde	C(=O)C(Cl)Cl
2,3,4,5-Tetrahydrodipicolinate	C1CC(N=C(C1)C(=O)O)C(=O)O
2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene	C1=CC(C(C(=C1)Br)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
2,3-Dihydroxy-1,1,1-trichloro-2,2-bis(4'-chlorophenyl)ethane	C1=CC(=CC=C1C(C2=C(C(=C(C=C2)Cl)O)O)C(Cl)(Cl)Cl)Cl
2,3-Diketo-5-methylthiopentyl-1-phosphate	CSCCC(=O)C(=O)COP(=O)(O)O
2,3-Dimethyl-5-phytylquinol	CC1=C(C=C(C(=C1C)O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C)O
2,4-Dichlorophenol	C1=CC(=C(C=C1Cl)Cl)O
2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	C(C1C(C(C(O1)NC2=C(C(=O)NC(=N2)N)N)O)O)OP(=O)(O)O
2,5-Dichloro-cis,cis-muconate	C(=C(C(=O)[O-])Cl)C=C(C(=O)[O-])Cl
2-(3'-Methylthio)propylmalic acid	
2-(4'-Methylthio)butylmalic acid	CSCCCCC(CC(=O)O)(C(=O)O)O
2-(5'-Methylthio)pentylmalic acid	CSCCCCCC(CC(=O)O)(C(=O)O)O
2-(6'-Methylthio)hexylmalic acid	CSCCCCCCC(CC(=O)O)(C(=O)O)O
2-(7'-Methylthio)heptylmalic acid	CSCCCCCCCC(CC(=O)O)(C(=O)O)O
2-(S-Glutathionyl)acetyl chloride	C(CC(=O)NC(CSCC(=O)Cl)C(=O)NCC(=O)O)C(C(=O)O)N
2-(S-Glutathionyl)acetyl glutathione	C(CC(=O)NC(CSCC(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N
2-(alpha-Hydroxyethyl)thiamine diphosphate	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)(O)OP(=O)(O)O
2-Acetolactate	CC(=O)C(C)(C(=O)O)O
2-Bromoacetaldehyde	C(C=O)Br
2-C-Methyl-D-erythritol_2_4-cyclodiphosphate	
2-C-Methyl-D-erythritol_4-phosphate	
2-Carboxy-1,4-naphthoquinone	C1=CC=C2C(=C1)C(=O)C=C(C2=O)C(=O)O
2-Carboxy-D-arabinitol	C(C(C(C(CO)(C(=O)O)O)O)O)O
2-Carboxy-D-arabinitol 1-phosphate	C(C(C(C(COP(=O)(O)O)(C(=O)O)O)O)O)O
2-Deoxy-D-ribose 5-phosphate	C(C=O)C(C(COP(=O)(O)O)O)O
2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate	CSCCC(=O)C(=COP(=O)(O)O)O
2-Hydroxy-3-phenylpropenoate	C1=CC=C(C=C1)C=C(C(=O)O)O
2-Hydroxyphenylacetate	C1=CC=C(C(=C1)CC(=O)[O-])O
2-Isopropylmaleate	CC(C)C(=CC(=O)O)C(=O)O
2-Maleylacetate	C(C(=O)C=CC(=O)O)C(=O)O
2-Methyl-6-phytylquinol	CC1=CC(=CC(=C1O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C)O
2-Methyl-6-solanyl-1,4-benzoquinol	CC1=CC(=CC(=C1O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O
2-Methylacetoacetyl-CoA	CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-Methylbut-2-enoyl-CoA	CC=C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
2-Methylmaleate	CC(=CC(=O)O)C(=O)O
2-Methylprop-2-enoyl-CoA	CC(=C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-Methylthio-N6-dimethylallyladenine in tRNA	
2-Oxo acid	
2-Oxo-3-hydroxy-4-phosphobutanoate	C(C(C(=O)C(=O)O)O)OP(=O)(O)O
2-Oxo-8-methylthiooctanoic acid	CSCCCCCCC(=O)C(=O)O
2-Oxoadipate	C(CC(=O)C(=O)O)CC(=O)O
2-Oxobutanoate	CCC(=O)C(=O)O
2-Oxoglutaramate	C(CC(=O)N)C(=O)C(=O)[O-]
2-Oxosuccinamate	C(C(=O)C(=O)[O-])C(=O)N
2-Phosphinomethylmalate	C(C(=O)O)C(C[P+](=O)O)(C(=O)O)O
2-Phospho-4-cytidine_5-diphospho-2-C-methyl-D-erythritol	
2-Phosphoglycerate	C(C(C(=O)O)OP(=O)(O)O)O
2-Phosphoglycolate	C(C(=O)O)OP(=O)(O)O
2-Phytyl-1,4-naphthoquinone	CC(C)CCCC(C)CCCC(C)CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C
2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	C=C(C(=O)O)OC1C=CC(C(C1O)C(=O)O)C(=O)CCC(=O)O
2-Succinylbenzoate	C1=CC=C(C(=C1)C(=O)CCC(=O)O)C(=O)O
2-Succinylbenzoyl-CoA	
2-Thio-N6-dimethylallyladenine in tRNA	
2-trans,6-trans-Farnesal	CC(=CCCC(=CCCC(=CC=O)C)C)C
3'-Hydroxyechinenone	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)CCC2(C)C)C)C)C
3'-Phosphoadenylyl selenate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O[Se](=O)(=O)O)OP(=O)(O)O)O)N
3'-Phosphoadenylyl sulfate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O)N
3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene	C1=CC(=CC(C1SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O)Br
3,4-Dihydroxy-L-phenylalanine	C1=CC(=C(C=C1CC(C(=O)O)N)O)O
3,5-Dichlorocatechol	C1=C(C=C(C(=C1O)O)Cl)Cl
3,6-Dichlorocatechol	C1=CC(=C(C(=C1Cl)O)O)Cl
3-(3'-Methylthio)propylmalic acid	CSCCCC(C(C(=O)O)O)C(=O)O
3-(4'-Methylthio)butylmalic acid	CSCCCCC(C(C(=O)O)O)C(=O)O
3-(4-Hydroxyphenyl)pyruvate	C1=CC(=CC=C1CC(=O)C(=O)[O-])O
3-(5'-Methylthio)pentylmalic acid	CSCCCCCC(C(C(=O)O)O)C(=O)O
3-(6'-Methylthio)hexylmalic acid	CSCCCCCCC(C(C(=O)O)O)C(=O)O
3-(7'-Methylthio)heptylmalic acid	CSCCCCCCCC(C(C(=O)O)O)C(=O)O
3-(Hydrohydroxyphosphoryl)pyruvate	
3-(Imidazol-4-yl)-2-oxopropyl phosphate	C1=C(NC=N1)CC(=O)COP(=O)(O)O
3-Cyano-L-alanine	C(C#N)C(C(=O)O)N
3-Dehydroquinate	C1C(C(C(=O)CC1(C(=O)[O-])O)O)O
3-Dehydroshikimate	C1C(C(C(=O)C=C1C(=O)O)O)O
3-Deoxy-D-arabino-heptulosonate-7-phosphate	C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O
3-Hydroxy-3-methyl-2-oxobutanoic acid	CC(C)(C(=O)C(=O)O)O
3-Hydroxyechinenone	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C
3-Hydroxypropanoate	C(CO)C(=O)O
3-Isopropyl-3-butenoic acid	CC(C)C(=C)CC(=O)O
3-Isopropylbut-3-enoyl-CoA	CC(C)C(=C)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Methyl-2-oxobutanoate	CC(C)C(=O)C(=O)[O-]
3-Methylbutanal	CC(C)CC=O
3-Methylbutanol	CC(C)CCO
3-Methylbutanoyl-CoA	CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Methylglutaconyl-CoA	CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)CC(=O)O
3-Oxoacyl-[acyl-carrier protein]	
3-Oxopropanoate	C(C=O)C(=O)[O-]
3-Phosphinomethylmalate	C(C(C(C(=O)O)O)C(=O)O)[P+](=O)O
3-Phospho-D-glyceroyl phosphate	C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O
3-Phosphoglycerate	C(C(C(=O)O)O)OP(=O)(O)O
3-Phosphohydroxypyruvate	C(C(=O)C(=O)O)OP(=O)(O)O
3-Sulfino-L-alanine	C(C(C(=O)O)N)S(=O)O
3-Sulfinylpyruvate	C(C(=O)C(=O)O)S(=O)O
3-Sulfopyruvate	C(C(=O)C(=O)O)S(=O)(=O)O
3-Ureidopropionate	C(CNC(=O)N)C(=O)O
3-beta-D-Galactosyl-sn-glycerol	C(C1C(C(C(C(O1)OCC(CO)O)O)O)O)O
4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene	C1=CC=C2C3=C4C(=CC2=C1)C(C(C5=CC=CC(=C54)C=C3)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
4,5-seco-Dopa	C(C(C(=O)O)N)C(=CC(=O)C(=O)O)C=CO
