(+)-Bornane-2,5-dione	CC1(C2CC(=O)C1(CC2=O)C)C
9-cis-Violaxanthin	CC(=CC=CC=C(C)C=CC=C(C)C=CC12C(CC(CC1(O2)C)O)(C)C)C=CC=C(C)C=CC34C(CC(CC3(O4)C)O)(C)C
9-cis-beta-Carotene	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C
ADP-Glucose	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N
ADP-ribose	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O)N
Acetaldehyde	CC=O
Acetate	CC(=O)[O-]
Acetoacetate	CC(=O)CC(=O)[O-]
Acetoacetyl-CoA	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Acetyl-[acyl-carrier protein]	CC(=O)S
Acrylamide	C=CC(=O)N
Acrylic acid	C=CC(=O)O
Acyl-CoA	
Acyl-[acyl-carrier protein]	
Adenine	C1=NC2=NC=NC(=C2N1)N
Adenosine	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
Adenosine 3',5'-bisphosphate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N
Adenosine 5-diphosphate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N
Adenosine 5-monophosphate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
Adenosine 5-phosphosulfate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N
Adenosine 5-triphosphate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
Adenosylhomocysteine	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N
Adenylyl selenate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O[Se](=O)(=O)O)O)O)N
Adonixanthin	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C
Aflatoxin B1-exo-8,9-epoxide	COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C6C(O6)OC5OC4=C1
Aflatoxin B1exo-8,9-epoxide-GSH	COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C(C(OC5OC4=C1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
Agmatine	C(CCN=C(N)N)CN
Aldophosphamide	C(COP(=O)(N)N(CCCl)CCCl)C=O
Allantoate	C(C(=O)[O-])(NC(=O)N)NC(=O)N
Aminofructose 6-phosphate	C(C1C(C(C(O1)(CO)O)N)O)OP(=O)(O)O
Ammonia	N
Anandamide	CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCO
Antheraxanthin	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C)C)C
Anthranilate	C1=CC=C(C(=C1)C(=O)[O-])N
Arachidonate	CCCCCC=CCC=CCC=CCC=CCCCC(=O)[O-]
Arogenate	C1=CC(C=CC1O)(CC(C(=O)O)N)C(=O)O
Ascorbate	C(C(C1C(=C(C(=O)O1)[O-])O)O)O
Aspartate	C(C(C(=O)O)N)C(=O)O
Aspartate 4-semialdehyde	
Aspartyl-4-phosphate	
Astaxanthin	CC1=C(C(CC(C1=O)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C
Benzo[a]pyrene-4,5-oxide	C1=CC=C2C3=C4C(=CC2=C1)C5C(O5)C6=CC=CC(=C64)C=C3
Benzoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=CC=CC=C4)O
Betaine aldehyde	C[N+](C)(C)CC=O
Betaine aldehyde hydrate	C[N+](C)(C)CC(O)O
Bicarbonate	C(=O)(O)[O-]
Biliverdin	CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)O
Bromobenzene-2,3-oxide	C1=CC2C(O2)C(=C1)Br
Bromobenzene-3,4-oxide	C1=CC(=CC2C1O2)Br
Butanal	CCCC=O
C25-Allenic-apo-aldehyde	CC(=CC=CC=C(C)C=O)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C
C25-Epoxy-apo-aldehyde	CC(=CC=CC=C(C)C=O)C=CC=C(C)C=CC12C(CC(CC1(O2)C)O)(C)C
CDP	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O
CDP-DG C34 backbone	
CO	[Co]
CO2, carbon dioxide	
Canthaxanthin	CC1=C(C(CCC1=O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)CCC2(C)C)C)C)C
Carbamate	C(=O)(N)[O-]
Carbamoyl phosphate	C(=O)(N)OP(=O)(O)O
Carboxyphosphate	C(=O)(O)OP(=O)(O)O
Carboxyphosphonopyruvate	C(C(=O)C(=O)O)P(=O)(C(=O)O)O
Carlactone	CC1=C(C(CCC1)(C)C)C=CC(=COC2C=C(C(=O)O2)C)C
Catechol	C1=CC=C(C(=C1)O)O
Chloroacetyl chloride	C(C(=O)Cl)Cl
Chlorophyll backbone	
Chlorophyll-a chain	
Chlorophyll-b chain	
Chlorophyllide a	CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5C(C(C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)C(C4=O)C(=O)OC)C)C.[Mg+2]
Chlorophyllide_b	
Choline	C[N+](C)(C)CCO
Chorismate	C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O
Cinnamaldehyde	C1=CC=C(C=C1)C=CC=O
Cinnamyl alcohol	C1=CC=C(C=C1)C=CCO
Citrate	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
Coenzyme A	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O
Coniferin	COC1=C(C=CC(=C1)C=CCO)OC2C(C(C(C(O2)CO)O)O)O
Coniferyl alcohol	COC1=C(C=CC(=C1)C=CCO)O
Coproporphyrinogen I	CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O
Coproporphyrinogen_III	
Cyanate	C(=[N-])=O
Cyanidin	C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O
Cyanidin 3-O-glucoside	C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O.[Cl-]
Cys-Gly	C(C(C(=O)NCC(=O)O)N)S
Cystathionine	C(CSCC(C(=O)O)N)C(C(=O)O)N
Cysteine	C(C(C(=O)O)N)S
Cytidine	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
Cytidine 5-monophosphate	C1=C(C(=NC(=O)N1C2C(C(C(O2)CO)O)O)N)OP(=O)(O)O
Cytidine triphosphate	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
D-Alanine	CC(C(=O)O)N
D-Alanyl-D-alanine	CC(C(=O)NC(C)C(=O)O)N
D-Amino acid	
D-Aspartate	C(C(C(=O)O)N)C(=O)O
D-Cysteine	C(C(C(=O)O)N)S
D-Erythrose 4-phosphate	C(C(C(C=O)O)O)OP(=O)(O)O
D-Fructose	C1C(C(C(C(O1)(CO)O)O)O)O
D-Fructose 1-phosphate	C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O
D-Fructose 6-phosphate	C(C1C(C(C(O1)(CO)O)O)O)OP(=O)(O)O
D-Galacturonate	C1(C(C(OC(C1O)O)C(=O)O)O)O
D-Gluconic acid	C(C(C(C(C(C(=O)O)O)O)O)O)O
D-Glucono-1,5-lactone	C(C1C(C(C(C(=O)O1)O)O)O)O
D-Glucosamine 6-phosphate	C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O
D-Glucose 6-phosphate	C(C(C(C(C(C=O)O)O)O)O)OP(=O)(O)O
D-Glucuronate	C1(C(C(OC(C1O)O)C(=O)O)O)O
D-Glucuronate 1-phosphate	C1(C(C(OC(C1O)OP(=O)(O)O)C(=O)O)O)O
D-Glutamate	C(CC(=O)O)C(C(=O)O)N
D-Glyceraldehyde	C(C(C=O)O)O
D-Mannitol 1-phosphate	C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O
D-Mannose 1-phosphate	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
D-Mannose 6-phosphate	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
D-Ribose	C1C(C(C(C(O1)O)O)O)O
D-Ribose 1,5-bisphosphate	C(C1C(C(C(O1)OP(=O)(O)O)O)O)OP(=O)(O)O
D-Ribose 5-phosphate	C(C1C(C(C(O1)O)O)O)OP(=O)(O)O
D-Ribulose 5-phosphate	C(C(C(C(=O)CO)O)O)OP(=O)(O)O
D-Sorbitol	C(C(C(C(C(CO)O)O)O)O)O
D-Tagatose 1,6-bisphosphate	C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O
D-Tagatose 6-phosphate	C(C1C(C(C(O1)(CO)O)O)O)OP(=O)(O)O
D-Xylulose 5-phosphate	C(C(C(C(=O)CO)O)O)OP(=O)(O)O
D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	C1=C(NC=N1)C(C(COP(=O)(O)O)O)O
D-erythro-3-Methylmalate	CC(C(C(=O)O)O)C(=O)O
D-glycerate	C(C(C(=O)[O-])O)O
DG backbone	
DGDG C32 backbone	
DGDG C34 backbone	
DGDG C36 backbone	
DGDG backbone	
Deamino-NAD+	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)O
Dehydroascorbate	C(C(C1C(=O)C(=O)C(=O)O1)O)O
Demethylphylloquinol	CC(C)CCCC(C)CCCC(C)CCCC(=CCC1=C(C2=CC=CC=C2C(=C1)O)O)C
Deoxycytidine	C1C(C(OC1N2C=CC(=NC2=O)N)CO)O
Deoxyribose	C1C(C(OC1O)CO)O
Deoxyuridine	C1C(C(OC1N2C=CC(=O)NC2=O)CO)O
Dephospho-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C(C(=O)NCCC(=O)NCCS)O
Dethiobiotin	CC1C(NC(=O)N1)CCCCCC(=O)O
Diaminopimelate	C(CC(C(=O)[O-])N)CC(C(=O)[O-])N
Dihydrobiopterin	CC(C(C1=NC2=C(NC1)N=C(NC2=O)N)O)O
Dihydrofolate	C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
Dihydrogeranylgeranyl diphosphate	CC(CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)CCC=C(C)CCC=C(C)C
Dihydroneopterin phosphate	C1C(=NC2=C(N1)N=C(NC2=O)N)C(C(COP(=O)(O)O)O)O
Dihydropteroate	C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)O
Dihydroxyacetone phosphate	C(C(=O)COP(=O)(O)O)O
Dimethylallyl_diphosphate	
Diphosphate, Pyrophosphate	
Dithiothreitol	C(C(C(CS)O)O)S
Divinyl chlorophyllide a	CC1C(C2=C3C(C(=O)C4=C3[N-]C(=C4C)C=C5C(=C(C(=N5)C=C6C(=C(C(=CC1=N2)[N-]6)C)C=C)C)C=C)C(=O)OC)CCC(=O)O.[Mg+2]
Divinylprotochlorophyllide	
Dodecanoic acid	CCCCCCCCCCCC(=O)O
Echinenone	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)CCC2(C)C)C)C)C
Enzyme N6-(lipoyl)lysine	
Epoxypheophorbide a	CCC1=C2C=C3C(=C4C(=O)C(C(=C4N3)C5=NC(=CC6=NC7(C(O7)C(=C1C)N2)C(=C6C)C=C)C(C5CCC(=O)O)C)C(=O)OC)C
Erythrose 4-phosphate	C(C(C(C=O)O)O)OP(=O)(O)O
Estradiol-17beta	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
Estrone	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O
Ethanolamine	C(CO)N
Ethanolamine phosphate	C(COP(=O)(O)O)N
FA 16:0 chain	
FA 16:1(7Z) chain	
FA 16:2(7Z,10Z) chain	
FA 16:3(7Z,10Z,13Z) chain	
FA 18:0 chain	
FA 18:1(9Z) chain	
FA 18:2(9Z,12Z) chain	
FA 18:3(9Z,12Z,15Z) chain	
FAD; Flavin adenine dinucleotide	
FMN; Riboflavin-5-phosphate	
Fe2+	[Fe+2]
Fe3+	[Fe+3]
Fecosterol	CC(C)C(=C)CCC(C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4)O)C)C
Formate	C(=O)[O-]
Formyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC=O)O
Formyl-L-methionyl peptide	
Fructose 1,6-bisphosphate	C(C1C(C(C(O1)COP(=O)(O)O)O)O)OP(=O)(O)O
Fumarate	C(=CC(=O)[O-])C(=O)[O-]
GDP-4-dehydro-6-deoxy-D-mannose	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O
GDP-L-fucose	CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
GDP-L-galactose	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N
GDP-mannose	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N
GMP	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(NC2=O)N
Geranyl_diphosphate	
Geranylgeranyl_diphosphate	
Gla protein	
Gla protein precursor	
Glucono-delta-lactone-6-phosphate	
Glucose	C(C1C(C(C(C(O1)O)O)O)O)O
Glucose 1-phosphate	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
Glutamate	C(CC(=O)O)C(C(=O)O)N
Glutamine	C(CC(=O)N)C(C(=O)O)N
Glutaminyl-tRNA	
Glutaredoxin	
Glutaredoxin disulfide	
Glutaryl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)O)O
Glutathione	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
Glutathione disulfide	C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N
Glutathione episulfonium ion	C1C[S+]1CC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
Glyceraldehyde 3-phosphate	C(C(C=O)O)OP(=O)(O)O
Glycerate	C(C(C(=O)[O-])O)O
Glycerol	C(C(CO)O)O
Glycine	C(C(=O)O)N
Glycolaldehyde	C(C=O)O
Glycolate	C(C(=O)O)O
Glycyl-tRNA(Gly)	
Glyoxylate	C(=O)C(=O)O
Guanine	C1=NC2=C(N1)C(=O)NC(=N2)N
Guanosine	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N
Guanosine 3'-diphosphate 5'-triphosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OP(=O)(O)OP(=O)(O)O)O)N=C(NC2=O)N
Guanosine diphosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
Guanosine triphosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
H+, proton	
H2O, water	
Heme	CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C)CCC(=O)O)CCC(=O)O.[Fe+2]
Heme O	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C(CCC=C(C)CCC=C(C)CCC=C(C)C)O)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2]
Hexadecanal	CCCCCCCCCCCCCCCC=O
Hexadecenoyl-[acyl-carrier protein]	
Histamine	C1=C(NC=N1)CCN
Homocysteine	C(CS)C(C(=O)O)N
Homogentisate	C1=CC(=C(C=C1O)CC(=O)O)O
Homoserine	C(CO)C(C(=O)O)N
Hordenine	CN(C)CCC1=CC=C(C=C1)O
Hydrobromic acid	Br
Hydrochloric acid	Cl
Hydrogen cyanide	C#N
Hydrogen peroxide	OO
Hydrogen selenide	[SeH2]
Hydrosulfide	[SH-]
Hydroxyacetone	CC(=O)CO
Hydroxymethylbilane	C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O
Hydroxypyruvate	C(C(=O)C(=O)O)O
Hypoxanthine	C1=NC2=C(N1)C(=O)NC=N2
IDP	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O
ITP	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
Iminoerythrose 4-phosphate	C(C(C(C=N)O)O)OP(=O)(O)O
Indole	C1=CC=C2C(=C1)C=CN2
Indole-3-acetate	C1=CC=C2C(=C1)C(=CN2)CC(=O)[O-]
Indoleglycerol phosphate	C1=CC=C2C(=C1)C(=CN2)C(C(COP(=O)(O)O)O)O
Inosine	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O
Inosine 5-Monophosphate	
Inositol 1-phosphate	C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
Isochorismate	C=C(C(=O)[O-])OC1C=CC=C(C1O)C(=O)[O-]
Isocitrate	C(C(C(C(=O)O)O)C(=O)O)C(=O)O
Isoprene	CC(=C)C=C
Kanamycin B	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)N)N
L-3,4-Dihydroxybutan-2-one 4-phosphate	CC(=O)C(COP(=O)(O)O)O
L-Alanine	CC(C(=O)O)N
L-Alanyl-D-glutamate	CC(C(=O)NC(CCC(=O)O)C(=O)O)N
L-Alanyl-L-glutamate	CC(C(=O)NC(CCC(=O)O)C(=O)O)N
L-Alanyl-tRNA	
L-Amino acid	
L-Arginine	C(CC(C(=O)O)N)CN=C(N)N
L-Arginyl-tRNA(Arg)	
L-Asparagine	C(C(C(=O)O)N)C(=O)N
L-Asparaginyl-tRNA(Asn)	
L-Aspartyl-tRNA(Asp)	
L-Citrulline	C(CC(C(=O)O)N)CNC(=O)N
L-Cysteate	C(C(C(=O)[O-])N)S(=O)(=O)O
L-Cysteinyl-tRNA(Cys)	
L-Fucose	CC1C(C(C(C(O1)O)O)O)O
L-Fucose 1-phosphate	CC1C(C(C(C(O1)OP(=O)(O)O)O)O)O
L-Glutamyl-tRNA(Glu)	
L-Histidine	C1=C(NC=N1)CC(C(=O)O)N
L-Histidinol phosphate	C1=C(NC=N1)CC(COP(=O)(O)O)N
L-Histidyl-tRNA(His)	
L-Isoleucine	CCC(C)C(C(=O)O)N
L-Isoleucyl-tRNA(Ile)	
L-Leucine	CC(C)CC(C(=O)O)N
L-Leucyl-tRNA	
L-Lysyl-tRNA	
L-Methionine	CSCCC(C(=O)O)N
L-Methionine (S)-S-oxide	CS(=O)CCC(C(=O)O)N
L-Methionyl-tRNA	
L-Ornithine	C(CC(C(=O)O)N)CN
L-Phenylalanyl-tRNA(Phe)	
L-Proline	C1CC(NC1)C(=O)O
L-Prolyl-tRNA(Pro)	
L-Selenocysteine	C(C(C(=O)O)N)[SeH]
L-Selenomethionine	C[Se]CCC(C(=O)O)N
L-Seryl-tRNA(Ser)	
L-Threonine	CC(C(C(=O)O)N)O
L-Threonyl-tRNA(Thr)	
L-Tryptophan	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
L-Tryptophanyl-tRNA(Trp)	
L-Tyrosine	C1=CC(=CC=C1CC(C(=O)O)N)O
L-Tyrosyl-tRNA(Tyr)	
L-Valine	CC(C)C(C(=O)O)N
L-Valyl-tRNA(Val)	
L-erythro-4-Hydroxyglutamate	C(C(C(=O)O)N)C(C(=O)O)O
L-glutamic	
L-histidinol	C1=C(NC=N1)CC(CO)N
LPA backbone	
Lathosterol	CC(C)CCCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C
Lipid	
Lipid backbone	
Lipid chain	
Lutein	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C
Lycopene	CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C
Lysine	C(CCN)CC(C(=O)O)N
MGDG C32 backbone	
MGDG C34 backbone	
MGDG C36 backbone	
MGDG backbone	
MGMG backbone	
Magnesium_cation	
Magnesium_protoporphyrin	
Magnesium_protoporphyrin_monomethyl_ester	
Malate	C(C(C(=O)O)O)C(=O)O
Malonyl-acyl-carrier-protein	
Maltose	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
Mercaptopyruvate	C(C(=O)C(=O)O)S
Methaneselenol	C[SeH]
Methionyl peptide	
Methyl beta-D-galactoside	COC1C(C(C(C(O1)CO)O)O)O
Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside	CC1C(C(C(C(O1)OC2C(C(C(OC2OC)CO)O)O)O)O)O
Methylglyoxal	CC(=O)C=O
Methylselenic acid	C[Se](=O)O
Monodehydroascorbate	C(C(C1C(=O)C(=C(O1)[O])O)O)O
N(omega)-Hydroxyarginine	C(CC(C(=O)O)N)CN=C(N)NO
N(pi)-Methyl-L-histidine	CN1C=NC=C1CC(C(=O)O)N
N,N-Dimethylaniline	CN(C)C1=CC=CC=C1
N,N-Dimethylaniline N-oxide	C[N+](C)(C1=CC=CC=C1)[O-]
N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)NC=NCC(=O)C(C(COP(=O)(O)O)O)O)C(=O)N
N-(5-Phospho-D-ribosyl)anthranilate	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O
N-(L-Arginino)succinate	C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O
N-Acetyl-D-glucosamine 6-phosphate	CC(=O)NC1C(C(C(OC1O)COP(=O)(O)O)O)O
N-Acetyl-L-glutamate	CC(=O)NC(CCC(=O)O)C(=O)O
N-Acetyl-L-glutamate 5-phosphate	CC(=O)NC(CCC(=O)OP(=O)(O)O)C(=O)O
N-Acetyl-L-glutamate 5-semialdehyde	CC(=O)NC(CCC=O)C(=O)O
N-Acetyl-alpha-D-glucosamine 1-phosphate	CC(=O)NC1C(C(C(OC1OP(=O)(O)O)CO)O)O
N-Acetylornithine	CC(=O)NC(CCCN)C(=O)O
N-Acetylserotonin	CC(=O)NCCC1=CNC2=C1C=C(C=C2)O
N-Benzoylanthranilate	C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)[O-]
N-Carbamoyl-L-aspartate	C(C(C(=O)O)NC(=O)N)C(=O)O
N-Methyltyramine	CNCCC1=CC=C(C=C1)O
N1,N5,N10-Tri(hydroxyferuloyl) spermidine	COC1=CC(=CC(=C1O)O)C=CC(=O)NCCCCN(CCCNC(=O)C=CC2=CC(=C(C(=C2)OC)O)O)C(=O)C=CC3=CC(=C(C(=C3)OC)O)O
N1,N5-Di(hydroxyferuloyl)-N10-sinapoyl spermidine	COC1=CC(=CC(=C1O)O)C=CC(=O)NCCCN(CCCCNC(=O)C=CC2=CC(=C(C(=C2)OC)O)OC)C(=O)C=CC3=CC(=C(C(=C3)OC)O)O
N6'-Acetylkanamycin-B	CC(=O)NCC1C(C(C(C(O1)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CO)O)N)O)N)N)N)O)O
N6-Prenyladenosine 5'-diphosphate	CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)C
N6-Prenyladenosine 5'-phosphate	CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)C
N6-Prenyladenosine 5'-triphosphate	CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)C
NDP	C1=CC=C2C(=CC=C(C2=C1)CCC(=O)[O-])CCC(=O)[O-].[Na+].[Na+]
NDP-glucose	
Nicotinamide	C1=CC(=CN=C1)C(=O)N
Nicotinamide D-ribonucleotide	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N
Nicotinamide adenine dinucleotide	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
Nicotinamide adenine dinucleotide - reduced	
Nicotinamide adenine dinucleotide phosphate	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O)C(=O)N
