accession/condition,NCBI accessions
C24,"SRR11093797;SRR11093797;SRR11093799;SRR11093804;SRR11093817;SRR11093818;SRR11093815;SRR11093816;SRR11093802;SRR23878753;SRR23878695;SRR23878408;SRR23878636;SRR7764035;SRR7764266;SRR7764085;SRR7764064;SRR7764044;SRR7764061;SRR7764041;SRR7764262;SRR11093797;SRR11093799;SRR11093804;SRR11093817;SRR11093818;SRR11093815;SRR11093816;SRR11093802;SRR23878753;SRR23878695;SRR23878408;SRR23878636;SRR7764035;SRR7764266;SRR7764085;SRR7764064;SRR7764044;SRR7764061;SRR7764041;SRR7764262;SRR11093797;SRR11093799;SRR11093804;SRR11093817;SRR11093818;SRR11093815;SRR11093816;SRR11093802;SRR23878753;SRR23878695;SRR23878408;SRR23878636;SRR7764035;SRR7764266;SRR7764085;SRR7764064;SRR7764044;SRR7764061;SRR7764041;SRR7764262;SRR11093797, SRR11093799, SRR11093804, SRR11093817, SRR11093818, SRR11093815, SRR11093816, SRR11093802, SRR23878753, SRR23878695, SRR23878408, SRR23878636, SRR7764035, SRR7764266, SRR7764085, SRR7764064, SRR7764044, SRR7764061, SRR7764041, SRR7764262"
Can-0,"SRR1179980;SRR1179980;SRR1179981;SRR1179982;SRR1179983;SRR1179984;SRR1179985;ERR13999227;ERR13999228;ERR13999229;ERR13999230;ERR13999226;ERR13999039;ERR13999200;ERR13999201;ERR13999220;ERR13999223;ERR13999224;ERR13999225;SRR1179980;SRR1179981;SRR1179982;SRR1179983;SRR1179984;SRR1179985;ERR13999227;ERR13999228;ERR13999229;ERR13999230;ERR13999226;ERR13999039;ERR13999200;ERR13999201;ERR13999220;ERR13999223;ERR13999224;ERR13999225;SRR1179980;SRR1179981;SRR1179982;SRR1179983;SRR1179984;SRR1179985;ERR13999227;ERR13999228;ERR13999229;ERR13999230;ERR13999226;ERR13999039;ERR13999200;ERR13999201;ERR13999220;ERR13999223;ERR13999224;ERR13999225;SRR1179980, SRR1179981, SRR1179982, SRR1179983, SRR1179984, SRR1179985, ERR13999227, ERR13999228, ERR13999229, ERR13999230, ERR13999226, ERR13999039, ERR13999200, ERR13999201, ERR13999220, ERR13999223, ERR13999224, ERR13999225"
Cdm-0,"SRR3464804;SRR3464804;SRR3464805;SRR3464806;SRR3464807;SRR3464808;SRR3464804, SRR3464805, SRR3464806, SRR3464807, SRR3464808"
Col-0,"SRR32995251;SRR32995251;SRR32995250;SRR32995249;SRR32190216;SRR32190215;SRR32771561;SRR32771560;SRR32771559;SRR32771543;SRR32771542;SRR32771540;SRR32918112;SRR32918111;SRR32918110;SRR32918109;SRR32918108;SRR32918107;SRR32918106;SRR32918105;SRR32918104;SRR32995251;SRR32995250;SRR32995249;SRR32190216;SRR32190215;SRR32771561;SRR32771560;SRR32771559;SRR32771543;SRR32771542;SRR32771540;SRR32918112;SRR32918111;SRR32918110;SRR32918109;SRR32918108;SRR32918107;SRR32918106;SRR32918105;SRR32918104;SRR32995251;SRR32995250;SRR32995249;SRR32190216;SRR32190215;SRR32771561;SRR32771560;SRR32771559;SRR32771543;SRR32771542;SRR32771540;SRR32918112;SRR32918111;SRR32918110;SRR32918109;SRR32918108;SRR32918107;SRR32918106;SRR32918105;SRR32918104;SRR32995251, SRR32995250, SRR32995249, SRR32190216, SRR32190215, SRR32771561, SRR32771560, SRR32771559, SRR32771543, SRR32771542, SRR32771540, SRR32918112, SRR32918111, SRR32918110, SRR32918109, SRR32918108, SRR32918107, SRR32918106, SRR32918105, SRR32918104"
Col-0-N-,SRR19846669;SRR19846670;SRR19846671;SRR19846672;SRR19846673;SRR19846674
Ct-1,"SRR25204267;SRR25204267;SRR1046852;SRR1179962;SRR1179963;SRR1179964;SRR1179965;SRR1179966;SRR1179967;SRR3460478;SRR3460479;SRR3460480;SRR3460481;SRR3460482;SRR3460483;SRR3460484;SRR3460485;SRR3460486;SRR3460487;SRR3460488;SRR3460489;SRR3460490;SRR3460491;SRR3460492;SRR3460493;SRR3460494;SRR11993630;SRR11993646;SRR11993666;SRR11993682;SRR11993702;SRR11993718;SRR23238040;SRR25204267;SRR1046852;SRR1179962;SRR1179963;SRR1179964;SRR1179965;SRR1179966;SRR1179967;SRR3460478;SRR3460479;SRR3460480;SRR3460481;SRR3460482;SRR3460483;SRR3460484;SRR3460485;SRR3460486;SRR3460487;SRR3460488;SRR3460489;SRR3460490;SRR3460491;SRR3460492;SRR3460493;SRR3460494;SRR11993630;SRR11993646;SRR11993666;SRR11993682;SRR11993702;SRR11993718;SRR23238040;SRR25204267;SRR1046852;SRR1179962;SRR1179963;SRR1179964;SRR1179965;SRR1179966;SRR1179967;SRR3460478;SRR3460479;SRR3460480;SRR3460481;SRR3460482;SRR3460483;SRR3460484;SRR3460485;SRR3460486;SRR3460487;SRR3460488;SRR3460489;SRR3460490;SRR3460491;SRR3460492;SRR3460493;SRR3460494;SRR11993630;SRR11993646;SRR11993666;SRR11993682;SRR11993702;SRR11993718;SRR23238040;SRR25204267, SRR1046852, SRR1179962, SRR1179963, SRR1179964, SRR1179965, SRR1179966, SRR1179967, SRR3460478, SRR3460479, SRR3460480, SRR3460481, SRR3460482, SRR3460483, SRR3460484, SRR3460485, SRR3460486, SRR3460487, SRR3460488, SRR3460489, SRR3460490, SRR3460491, SRR3460492, SRR3460493, SRR3460494, SRR11993630, SRR11993646, SRR11993666, SRR11993682, SRR11993702, SRR11993718, SRR23238040;SRR25204267;SRR1046852;SRR1179962;SRR1179963;SRR1179964;SRR1179965;SRR1179966;SRR1179967;SRR3460478;SRR3460479;SRR3460480;SRR3460481;SRR3460482;SRR3460483;SRR3460484;SRR3460485;SRR3460486;SRR3460487;SRR3460488;SRR3460489;SRR3460490;SRR3460491;SRR3460492;SRR3460493;SRR3460494;SRR11993630;SRR11993646;SRR11993666;SRR11993682;SRR11993702;SRR11993718;SRR23238040"
Cvi-0,"SRR19846657;SRR19846657;SRR19846655;SRR19846654;SRR19846653;SRR19846652;SRR19846628;SRR19846627;SRR19846626;SRR19846625;SRR19846624;SRR19846623;SRR19846621;SRR19846620;SRR19846619;SRR19846618;SRR19846617;SRR19846616;SRR19846615;SRR19846614;SRR19846613;SRR19846657;SRR19846655;SRR19846654;SRR19846653;SRR19846652;SRR19846628;SRR19846627;SRR19846626;SRR19846625;SRR19846624;SRR19846623;SRR19846621;SRR19846620;SRR19846619;SRR19846618;SRR19846617;SRR19846616;SRR19846615;SRR19846614;SRR19846613;SRR19846657;SRR19846655;SRR19846654;SRR19846653;SRR19846652;SRR19846628;SRR19846627;SRR19846626;SRR19846625;SRR19846624;SRR19846623;SRR19846621;SRR19846620;SRR19846619;SRR19846618;SRR19846617;SRR19846616;SRR19846615;SRR19846614;SRR19846613;SRR19846657, SRR19846655, SRR19846654, SRR19846653, SRR19846652, SRR19846628, SRR19846627, SRR19846626, SRR19846625, SRR19846624, SRR19846623, SRR19846621, SRR19846620, SRR19846619, SRR19846618, SRR19846617, SRR19846616, SRR19846615, SRR19846614, SRR19846613;SRR19846657;SRR19846655;SRR19846654;SRR19846653;SRR19846652;SRR19846628;SRR19846627;SRR19846626;SRR19846625;SRR19846624;SRR19846623;SRR19846621;SRR19846620;SRR19846619;SRR19846618;SRR19846617;SRR19846616;SRR19846615;SRR19846614;SRR19846613"
Cvi-0-N-,SRR19846624;SRR19846625;SRR19846619;SRR19846620;SRR19846621;SRR19846623
Db-1,SRR748619;SRR748619;SRR748619;SRR748619;SRR748619
Dog-4,"SRR3465177;SRR3465177;SRR3465178;SRR3465179;SRR3465180;SRR3465181;SRR3465182;SRR3465183;SRR3465184;SRR3465185;SRR3465186;SRR3465177, SRR3465178, SRR3465179, SRR3465180, SRR3465181, SRR3465182, SRR3465183, SRR3465184, SRR3465185, SRR3465186"
