accession/condition,NCBI accessions
Ll-0,"SRR3460318;SRR3460318;SRR3460319;SRR3460320;SRR3460321;SRR3460322;SRR3460323;SRR3460324;SRR3460325;SRR3460318;SRR3460319;SRR3460320;SRR3460321;SRR3460322;SRR3460323;SRR3460324;SRR3460325;SRR3460318, SRR3460319, SRR3460320, SRR3460321, SRR3460322, SRR3460323, SRR3460324, SRR3460325"
Mammo-1,"SRR3464944;SRR3464944;SRR3464945;SRR3464946;SRR3464947;SRR3464948;SRR3464949;SRR3464950;SRR3464944;SRR3464945;SRR3464946;SRR3464947;SRR3464948;SRR3464949;SRR3464950;SRR3464944, SRR3464945, SRR3464946, SRR3464947, SRR3464948, SRR3464949, SRR3464950"
Meh-0,CRR624280;CRR624280;CRR624280
Mr-0,"SRR11993615;SRR11993615;SRR11993635;SRR11993651;SRR11993671;SRR11993687;SRR11993707;SRR7764011;SRR7764145;SRR7763988;SRR7764137;SRR7764163;SRR7764174;SRR7764086;SRR7764269;SRR7764319;SRR7764097;SRR7764131;SRR7764065;SRR7764026;SRR7764340;SRR11993615;SRR11993635;SRR11993651;SRR11993671;SRR11993687;SRR11993707;SRR7764011;SRR7764145;SRR7763988;SRR7764137;SRR7764163;SRR7764174;SRR7764086;SRR7764269;SRR7764319;SRR7764097;SRR7764131;SRR7764065;SRR7764026;SRR7764340;SRR11993615, SRR11993635, SRR11993651, SRR11993671, SRR11993687, SRR11993707, SRR7764011, SRR7764145, SRR7763988, SRR7764137, SRR7764163, SRR7764174, SRR7764086, SRR7764269, SRR7764319, SRR7764097, SRR7764131, SRR7764065, SRR7764026, SRR7764340"
Ms-0,"SRR7764012;SRR7764012;SRR7764212;SRR7764144;SRR7764209;SRR7764036;SRR7763994;SRR7764006;SRR7764050;SRR7764234;SRR7764315;SRR7764173;SRR7764077;SRR7764046;SRR7764334;SRR7764055;SRR7764153;SRR7764257;SRR7764226;SRR7764282;SRR7764118;SRR7764012;SRR7764212;SRR7764144;SRR7764209;SRR7764036;SRR7763994;SRR7764006;SRR7764050;SRR7764234;SRR7764315;SRR7764173;SRR7764077;SRR7764046;SRR7764334;SRR7764055;SRR7764153;SRR7764257;SRR7764226;SRR7764282;SRR7764118;SRR7764012;SRR7764212;SRR7764144;SRR7764209;SRR7764036;SRR7763994;SRR7764006;SRR7764050;SRR7764234;SRR7764315;SRR7764173;SRR7764077;SRR7764046;SRR7764334;SRR7764055;SRR7764153;SRR7764257;SRR7764226;SRR7764282;SRR7764118;SRR7764012, SRR7764212, SRR7764144, SRR7764209, SRR7764036, SRR7763994, SRR7764006, SRR7764050, SRR7764234, SRR7764315, SRR7764173, SRR7764077, SRR7764046, SRR7764334, SRR7764055, SRR7764153, SRR7764257, SRR7764226, SRR7764282, SRR7764118"
N13,"SRR11993618;SRR11993618;SRR11993637;SRR11993654;SRR11993673;SRR11993690;SRR11993709;SRR11993618;SRR11993637;SRR11993654;SRR11993673;SRR11993690;SRR11993709;SRR11993618, SRR11993637, SRR11993654, SRR11993673, SRR11993690, SRR11993709"
Nemrut-1,"SRR3465187;SRR3465187;SRR3465188;SRR3465189;SRR3465190;SRR3465191;SRR3465192;SRR3465193;SRR3465194;SRR3465195;SRR3465196;SRR3465197;SRR3465198;SRR3465199;SRR3465200;SRR23878499;SRR23878683;SRR23878654;SRR23878530;SRR3465187;SRR3465188;SRR3465189;SRR3465190;SRR3465191;SRR3465192;SRR3465193;SRR3465194;SRR3465195;SRR3465196;SRR3465197;SRR3465198;SRR3465199;SRR3465200;SRR23878499;SRR23878683;SRR23878654;SRR23878530;SRR3465187;SRR3465188;SRR3465189;SRR3465190;SRR3465191;SRR3465192;SRR3465193;SRR3465194;SRR3465195;SRR3465196;SRR3465197;SRR3465198;SRR3465199;SRR3465200;SRR23878499;SRR23878683;SRR23878654;SRR23878530;SRR3465187, SRR3465188, SRR3465189, SRR3465190, SRR3465191, SRR3465192, SRR3465193, SRR3465194, SRR3465195, SRR3465196, SRR3465197, SRR3465198, SRR3465199, SRR3465200, SRR23878499, SRR23878683, SRR23878654, SRR23878530"
No-0,"SRR10425306;SRR10425306;SRR10425305;SRR23878486;SRR23878671;SRR23878571;SRR23878374;SRR10425302;SRR10425297;SRR10425296;SRR10425295;SRR10425294;SRR10425293;SRR10425292;SRR10425291;SRR10425304;SRR10425303;SRR10425301;SRR10425300;SRR10425299;SRR10425298;SRR10425306;SRR10425305;SRR23878486;SRR23878671;SRR23878571;SRR23878374;SRR10425302;SRR10425297;SRR10425296;SRR10425295;SRR10425294;SRR10425293;SRR10425292;SRR10425291;SRR10425304;SRR10425303;SRR10425301;SRR10425300;SRR10425299;SRR10425298;SRR10425306;SRR10425305;SRR23878486;SRR23878671;SRR23878571;SRR23878374;SRR10425302;SRR10425297;SRR10425296;SRR10425295;SRR10425294;SRR10425293;SRR10425292;SRR10425291;SRR10425304;SRR10425303;SRR10425301;SRR10425300;SRR10425299;SRR10425298;SRR10425306, SRR10425305, SRR23878486, SRR23878671, SRR23878571, SRR23878374, SRR10425302, SRR10425297, SRR10425296, SRR10425295, SRR10425294, SRR10425293, SRR10425292, SRR10425291, SRR10425304, SRR10425303, SRR10425301, SRR10425300, SRR10425299, SRR10425298;SRR10425306;SRR10425305;SRR23878486;SRR23878671;SRR23878571;SRR23878374;SRR10425302;SRR10425297;SRR10425296;SRR10425295;SRR10425294;SRR10425293;SRR10425292;SRR10425291;SRR10425304;SRR10425303;SRR10425301;SRR10425300;SRR10425299;SRR10425298"
Nz-1,"SRR3460659;SRR3460659;SRR3460660;SRR3460661;SRR3460662;SRR3460663;SRR3460664;SRR3460665;SRR3460666;SRR3460659;SRR3460660;SRR3460661;SRR3460662;SRR3460663;SRR3460664;SRR3460665;SRR3460666;SRR3460659, SRR3460660, SRR3460661, SRR3460662, SRR3460663, SRR3460664, SRR3460665, SRR3460666"
Oy-0,"SRR1046873;SRR1046873;SRR1179992;SRR1179993;SRR1179994;SRR1179995;SRR1179996;SRR1179997;SRR3460681;SRR3460682;SRR11993619;SRR11993639;SRR11993655;SRR11993675;SRR11993691;SRR11993711;SRR23238037;SRR1046873;SRR1179992;SRR1179993;SRR1179994;SRR1179995;SRR1179996;SRR1179997;SRR3460681;SRR3460682;SRR11993619;SRR11993639;SRR11993655;SRR11993675;SRR11993691;SRR11993711;SRR23238037;SRR1046873;SRR1179992;SRR1179993;SRR1179994;SRR1179995;SRR1179996;SRR1179997;SRR3460681;SRR3460682;SRR11993619;SRR11993639;SRR11993655;SRR11993675;SRR11993691;SRR11993711;SRR23238037;SRR1046873, SRR1179992, SRR1179993, SRR1179994, SRR1179995, SRR1179996, SRR1179997, SRR3460681, SRR3460682, SRR11993619, SRR11993639, SRR11993655, SRR11993675, SRR11993691, SRR11993711, SRR23238037"
Per-1,"SRR12642267;SRR12642267;SRR12642268;SRR12642269;SRR12642270;SRR12642274;SRR12642275;SRR12642276;SRR12642277;SRR12642278;SRR12642279;SRR12642283;SRR12642284;SRR12642285;SRR12642286;SRR12642287;SRR12642288;SRR23878750;SRR23878692;SRR23878405;SRR23878633;SRR12642267;SRR12642268;SRR12642269;SRR12642270;SRR12642274;SRR12642275;SRR12642276;SRR12642277;SRR12642278;SRR12642279;SRR12642283;SRR12642284;SRR12642285;SRR12642286;SRR12642287;SRR12642288;SRR23878750;SRR23878692;SRR23878405;SRR23878633;SRR12642267;SRR12642268;SRR12642269;SRR12642270;SRR12642274;SRR12642275;SRR12642276;SRR12642277;SRR12642278;SRR12642279;SRR12642283;SRR12642284;SRR12642285;SRR12642286;SRR12642287;SRR12642288;SRR23878750;SRR23878692;SRR23878405;SRR23878633;SRR12642267, SRR12642268, SRR12642269, SRR12642270, SRR12642274, SRR12642275, SRR12642276, SRR12642277, SRR12642278, SRR12642279, SRR12642283, SRR12642284, SRR12642285, SRR12642286, SRR12642287, SRR12642288, SRR23878750, SRR23878692, SRR23878405, SRR23878633;SRR12642267;SRR12642268;SRR12642269;SRR12642270;SRR12642274;SRR12642275;SRR12642276;SRR12642277;SRR12642278;SRR12642279;SRR12642283;SRR12642284;SRR12642285;SRR12642286;SRR12642287;SRR12642288;SRR23878750;SRR23878692;SRR23878405;SRR23878633"
Pra-6,"SRR3464836;SRR3464836;SRR3464837;SRR3464838;SRR3464839;SRR3464840;SRR3464841;SRR3464842;SRR3464843;SRR3464844;SRR3464845;SRR3464846;SRR3464847;SRR3464848;SRR3464849;SRR3464850;SRR3464851;SRR3464836;SRR3464837;SRR3464838;SRR3464839;SRR3464840;SRR3464841;SRR3464842;SRR3464843;SRR3464844;SRR3464845;SRR3464846;SRR3464847;SRR3464848;SRR3464849;SRR3464850;SRR3464851;SRR3464836, SRR3464837, SRR3464838, SRR3464839, SRR3464840, SRR3464841, SRR3464842, SRR3464843, SRR3464844, SRR3464845, SRR3464846, SRR3464847, SRR3464848, SRR3464849, SRR3464850, SRR3464851"
Pu2-23,"SRR748690;SRR748690;SRR23878707;SRR23878420;SRR23878386;SRR23878599;SRR748690;SRR23878707;SRR23878420;SRR23878386;SRR23878599;SRR748690;SRR23878707;SRR23878420;SRR23878386;SRR23878599;SRR748690, SRR23878707, SRR23878420, SRR23878386, SRR23878599"
Qar-8a,SRR748692;SRR748692;SRR748692;SRR748692;SRR748692
Ru-2,"SRR3463841;SRR3463841;SRR3463842;SRR3463841;SRR3463842;SRR3463841, SRR3463842"
Rubezhnoe-1,"SRR23878507;SRR23878507;SRR23878690;SRR23878662;SRR23878537;SRR23878507;SRR23878690;SRR23878662;SRR23878537;SRR23878507, SRR23878690, SRR23878662, SRR23878537"
Sf-2,"SRR1046882;SRR1046882;SRR1179980;SRR1179981;SRR1179982;SRR1179983;SRR1179984;SRR1179985;SRR3460757;SRR3460758;SRR3460759;SRR3460760;SRR3460761;SRR3460762;SRR3460763;SRR3460764;SRR3460765;SRR3460766;SRR3460767;SRR3460768;SRR23238036;SRR1046882;SRR1179980;SRR1179981;SRR1179982;SRR1179983;SRR1179984;SRR1179985;SRR3460757;SRR3460758;SRR3460759;SRR3460760;SRR3460761;SRR3460762;SRR3460763;SRR3460764;SRR3460765;SRR3460766;SRR3460767;SRR3460768;SRR23238036;SRR1046882;SRR1179980;SRR1179981;SRR1179982;SRR1179983;SRR1179984;SRR1179985;SRR3460757;SRR3460758;SRR3460759;SRR3460760;SRR3460761;SRR3460762;SRR3460763;SRR3460764;SRR3460765;SRR3460766;SRR3460767;SRR3460768;SRR23238036;SRR1046882, SRR1179980, SRR1179981, SRR1179982, SRR1179983, SRR1179984, SRR1179985, SRR3460757, SRR3460758, SRR3460759, SRR3460760, SRR3460761, SRR3460762, SRR3460763, SRR3460764, SRR3460765, SRR3460766, SRR3460767, SRR3460768, SRR23238036;SRR1046882;SRR1179980;SRR1179981;SRR1179982;SRR1179983;SRR1179984;SRR1179985;SRR3460757;SRR3460758;SRR3460759;SRR3460760;SRR3460761;SRR3460762;SRR3460763;SRR3460764;SRR3460765;SRR3460766;SRR3460767;SRR3460768;SRR23238036"
Sha,"SRR19846603;SRR19846603;SRR19846602;SRR19846601;SRR19846599;SRR19846598;SRR19846597;SRR19846596;SRR19846595;SRR19846594;SRR19846593;SRR19846592;SRR19846591;SRR19846590;SRR19846588;SRR19846587;SRR19846586;SRR23878716;SRR23878428;SRR23878395;SRR23878607;SRR19846603;SRR19846602;SRR19846601;SRR19846599;SRR19846598;SRR19846597;SRR19846596;SRR19846595;SRR19846594;SRR19846593;SRR19846592;SRR19846591;SRR19846590;SRR19846588;SRR19846587;SRR19846586;SRR23878716;SRR23878428;SRR23878395;SRR23878607;SRR19846603;SRR19846602;SRR19846601;SRR19846599;SRR19846598;SRR19846597;SRR19846596;SRR19846595;SRR19846594;SRR19846593;SRR19846592;SRR19846591;SRR19846590;SRR19846588;SRR19846587;SRR19846586;SRR23878716;SRR23878428;SRR23878395;SRR23878607;SRR19846603, SRR19846602, SRR19846601, SRR19846599, SRR19846598, SRR19846597, SRR19846596, SRR19846595, SRR19846594, SRR19846593, SRR19846592, SRR19846591, SRR19846590, SRR19846588, SRR19846587, SRR19846586, SRR23878716, SRR23878428, SRR23878395, SRR23878607"
Shahdara,"SRR2993798;SRR2993798;SRR2993799;SRR5444354;SRR5444355;SRR5444356;SRR5444357;SRR5444358;SRR5444359;SRR5444360;SRR5444361;SRR5444362;SRR5444363;SRR5444364;SRR5444365;SRR11993621;SRR11993641;SRR11993657;SRR11993677;SRR11993693;SRR11993713;SRR2993798;SRR2993799;SRR5444354;SRR5444355;SRR5444356;SRR5444357;SRR5444358;SRR5444359;SRR5444360;SRR5444361;SRR5444362;SRR5444363;SRR5444364;SRR5444365;SRR11993621;SRR11993641;SRR11993657;SRR11993677;SRR11993693;SRR11993713;SRR2993798;SRR2993799;SRR5444354;SRR5444355;SRR5444356;SRR5444357;SRR5444358;SRR5444359;SRR5444360;SRR5444361;SRR5444362;SRR5444363;SRR5444364;SRR5444365;SRR11993621;SRR11993641;SRR11993657;SRR11993677;SRR11993693;SRR11993713;SRR2993798, SRR2993799, SRR5444354, SRR5444355, SRR5444356, SRR5444357, SRR5444358, SRR5444359, SRR5444360, SRR5444361, SRR5444362, SRR5444363, SRR5444364, SRR5444365, SRR11993621, SRR11993641, SRR11993657, SRR11993677, SRR11993693, SRR11993713"
Shigu-2,"SRR3464915;SRR3464915;SRR3464916;SRR3464917;SRR3464918;SRR3464919;SRR3464920;SRR3464921;SRR3464922;SRR3464915;SRR3464916;SRR3464917;SRR3464918;SRR3464919;SRR3464920;SRR3464921;SRR3464922;SRR3464915;SRR3464916;SRR3464917;SRR3464918;SRR3464919;SRR3464920;SRR3464921;SRR3464922;SRR3464915, SRR3464916, SRR3464917, SRR3464918, SRR3464919, SRR3464920, SRR3464921, SRR3464922"
Sij-1,SRR3458700;SRR3458700;SRR3458700
Sij-2,"SRR3458701;SRR3458701;SRR3458702;SRR3458703;SRR3458704;SRR3458705;SRR3458706;SRR3458707;SRR3458708;SRR3458709;SRR3458710;SRR3458711;SRR3458701;SRR3458702;SRR3458703;SRR3458704;SRR3458705;SRR3458706;SRR3458707;SRR3458708;SRR3458709;SRR3458710;SRR3458711;SRR3458701, SRR3458702, SRR3458703, SRR3458704, SRR3458705, SRR3458706, SRR3458707, SRR3458708, SRR3458709, SRR3458710, SRR3458711"
Sorbo,"SRR18391628;SRR18391628;SRR18391627;SRR18391636;SRR18391635;SRR18391628;SRR18391627;SRR18391636;SRR18391635;SRR18391628;SRR18391627;SRR18391636;SRR18391635;SRR18391628, SRR18391627, SRR18391636, SRR18391635"
St-0,"SRR1162142;SRR1162142;SRR1162143;SRR11993622;SRR11993642;SRR11993658;SRR11993678;SRR11993694;SRR11993714;SRR1162142;SRR1162143;SRR11993622;SRR11993642;SRR11993658;SRR11993678;SRR11993694;SRR11993714;SRR1162142, SRR1162143, SRR11993622, SRR11993642, SRR11993658, SRR11993678, SRR11993694, SRR11993714"
Stw-0,"SRR748705;SRR748705;SRR11993623;SRR11993643;SRR11993659;SRR11993679;SRR11993695;SRR11993715;SRR23878715;SRR23878427;SRR23878394;SRR23878606;SRR748705;SRR11993623;SRR11993643;SRR11993659;SRR11993679;SRR11993695;SRR11993715;SRR23878715;SRR23878427;SRR23878394;SRR23878606;SRR748705;SRR11993623;SRR11993643;SRR11993659;SRR11993679;SRR11993695;SRR11993715;SRR23878715;SRR23878427;SRR23878394;SRR23878606;SRR748705, SRR11993623, SRR11993643, SRR11993659, SRR11993679, SRR11993695, SRR11993715, SRR23878715, SRR23878427, SRR23878394, SRR23878606"
Sus-1,SRR748708;SRR748708;SRR748708;SRR748708;SRR748708
T850,"SRR3459856;SRR3459856;SRR3459857;SRR3459858;SRR3459859;SRR3459860;SRR3459861;SRR3459862;SRR3459863;SRR3459864;SRR3459865;SRR3459866;SRR3459867;SRR3459856;SRR3459857;SRR3459858;SRR3459859;SRR3459860;SRR3459861;SRR3459862;SRR3459863;SRR3459864;SRR3459865;SRR3459866;SRR3459867;SRR3459856, SRR3459857, SRR3459858, SRR3459859, SRR3459860, SRR3459861, SRR3459862, SRR3459863, SRR3459864, SRR3459865, SRR3459866, SRR3459867"
Tibet-0,CRR624279;CRR624279;CRR624279
Toufl-1,SRR3464790;SRR3464790;SRR3464790
Tsu-0,"SRR19846585;SRR19846585;SRR19846584;SRR19846583;SRR19846582;SRR19846581;SRR19846646;SRR19846645;SRR19846644;SRR19846643;SRR19846642;SRR19846641;SRR19846640;SRR19846639;SRR19846637;SRR19846636;SRR19846635;SRR19846634;SRR19846633;SRR19846632;SRR19846631;SRR19846585;SRR19846584;SRR19846583;SRR19846582;SRR19846581;SRR19846646;SRR19846645;SRR19846644;SRR19846643;SRR19846642;SRR19846641;SRR19846640;SRR19846639;SRR19846637;SRR19846636;SRR19846635;SRR19846634;SRR19846633;SRR19846632;SRR19846631;SRR19846585;SRR19846584;SRR19846583;SRR19846582;SRR19846581;SRR19846646;SRR19846645;SRR19846644;SRR19846643;SRR19846642;SRR19846641;SRR19846640;SRR19846639;SRR19846637;SRR19846636;SRR19846635;SRR19846634;SRR19846633;SRR19846632;SRR19846631;SRR19846585, SRR19846584, SRR19846583, SRR19846582, SRR19846581, SRR19846646, SRR19846645, SRR19846644, SRR19846643, SRR19846642, SRR19846641, SRR19846640, SRR19846639, SRR19846637, SRR19846636, SRR19846635, SRR19846634, SRR19846633, SRR19846632, SRR19846631;SRR19846585;SRR19846584;SRR19846583;SRR19846582;SRR19846581;SRR19846646;SRR19846645;SRR19846644;SRR19846643;SRR19846642;SRR19846641;SRR19846640;SRR19846639;SRR19846637;SRR19846636;SRR19846635;SRR19846634;SRR19846633;SRR19846632;SRR19846631"
Tsu-0-N-,SRR19846637;SRR19846639;SRR19846640;SRR19846641;SRR19846642;SRR19846643
TueSB30-3,"SRR3465224;SRR3465224;SRR3465225;SRR3465226;SRR3465227;SRR3465228;SRR3465229;SRR3465230;SRR3465231;SRR3465224;SRR3465225;SRR3465226;SRR3465227;SRR3465228;SRR3465229;SRR3465230;SRR3465231;SRR3465224;SRR3465225;SRR3465226;SRR3465227;SRR3465228;SRR3465229;SRR3465230;SRR3465231;SRR3465224, SRR3465225, SRR3465226, SRR3465227, SRR3465228, SRR3465229, SRR3465230, SRR3465231"
Tul-0,"SRR748716;SRR748716;SRR3460871;SRR3460872;SRR3460873;SRR3460874;SRR3460875;SRR3460876;SRR3460877;SRR3460878;SRR3460879;SRR748716;SRR3460871;SRR3460872;SRR3460873;SRR3460874;SRR3460875;SRR3460876;SRR3460877;SRR3460878;SRR3460879;SRR748716, SRR3460871, SRR3460872, SRR3460873, SRR3460874, SRR3460875, SRR3460876, SRR3460877, SRR3460878, SRR3460879"
Valsi-1,"SRR3464994;SRR3464994;SRR3464995;SRR3464996;SRR3464997;SRR3464998;SRR3464999;SRR3465000;SRR3465001;SRR3465002;SRR3465003;SRR3465004;SRR3465005;SRR3465006;SRR3465007;SRR3465008;SRR3465009;SRR3465010;SRR3465011;SRR3465012;SRR3465013;SRR3464994;SRR3464995;SRR3464996;SRR3464997;SRR3464998;SRR3464999;SRR3465000;SRR3465001;SRR3465002;SRR3465003;SRR3465004;SRR3465005;SRR3465006;SRR3465007;SRR3465008;SRR3465009;SRR3465010;SRR3465011;SRR3465012;SRR3465013;SRR3464994;SRR3464995;SRR3464996;SRR3464997;SRR3464998;SRR3464999;SRR3465000;SRR3465001;SRR3465002;SRR3465003;SRR3465004;SRR3465005;SRR3465006;SRR3465007;SRR3465008;SRR3465009;SRR3465010;SRR3465011;SRR3465012;SRR3465013;SRR3464994, SRR3464995, SRR3464996, SRR3464997, SRR3464998, SRR3464999, SRR3465000, SRR3465001, SRR3465002, SRR3465003, SRR3465004, SRR3465005, SRR3465006, SRR3465007, SRR3465008, SRR3465009, SRR3465010, SRR3465011, SRR3465012, SRR3465013"
Yilong-0,CRR624272;CRR624272;CRR624272;CRR624272
Yo-0,SRR748729;SRR748729;SRR748729;SRR748729;SRR748729;SRR748729
Zal-1,"SRR3461045;SRR3461045;SRR3461046;SRR3461047;SRR3461048;SRR3461049;SRR3461050;SRR3461051;SRR3461052;SRR3461053;SRR3461054;SRR3461055;SRR3461056;SRR23878502;SRR23878685;SRR23878657;SRR23878532;SRR3461045;SRR3461046;SRR3461047;SRR3461048;SRR3461049;SRR3461050;SRR3461051;SRR3461052;SRR3461053;SRR3461054;SRR3461055;SRR3461056;SRR23878502;SRR23878685;SRR23878657;SRR23878532;SRR3461045;SRR3461046;SRR3461047;SRR3461048;SRR3461049;SRR3461050;SRR3461051;SRR3461052;SRR3461053;SRR3461054;SRR3461055;SRR3461056;SRR23878502;SRR23878685;SRR23878657;SRR23878532;SRR3461045, SRR3461046, SRR3461047, SRR3461048, SRR3461049, SRR3461050, SRR3461051, SRR3461052, SRR3461053, SRR3461054, SRR3461055, SRR3461056, SRR23878502, SRR23878685, SRR23878657, SRR23878532"
stress,"SRR25391349;SRR25391350;SRR25391357;SRR25391358;SRR25391365;SRR25391366;SRR25391367;SRR25391397;SRR25391398;SRR25391403;SRR25391408;SRR25391418;ERR1588790;ERR1417877;ERR1417879;ERR1588806;ERR1588806;ERR1417880;ERR1417883;ERR1417882;ERR1417885;ERR1588808;ERR1588811;ERR1588812;ERR1588837;ERR754054;ERR754079;ERR754088;ERR1588795;ERR1588796;ERR754072;ERR754075;ERR1417897;ERR1417895;ERR1588841;ERR1588842;ERR1588846;ERR1588855;ERR1417903;ERR1417900;ERR1417901;ERR1417899;ERR1417907;ERR1417904;ERR1417906;ERR1417909;ERR1588883;ERR1588895;ERR1588905;ERR1588899;ERR754074;ERR754086;ERR754089;ERR1588929;ERR1588930;ERR1588931;ERR1588932;ERR1588933;ERR1588934;ERR1588935;ERR1588936;ERR1588942;ERR1588960;ERR1588978;ERR1588968;ERR1589012;ERR1588966;ERR754073;ERR754063;SRR32771550;SRR32771551;SRR32771552;SRR11993645;SRR11993681;SRR11993717;SRR11993701;SRR11993665;SRR11993629;SRR1162111;SRR1162112;SRR1162113;SRR1162114;SRR1162015;SRR1162016;SRR1162017;SRR1162018;SRR1162019;SRR1162020;SRR1162021;SRR1162115;SRR1162116;SRR1162022;SRR1162023;SRR1162024;SRR25391349, SRR25391350, SRR25391357, SRR25391358, SRR25391365, SRR25391366, SRR25391367, SRR25391397, SRR25391398, SRR25391403, SRR25391408, SRR25391418, ERR1588790, ERR1417877, ERR1417879, ERR1588806, ERR1588806, ERR1417880, ERR1417883, ERR1417882, ERR1417885, ERR1588808, ERR1588811, ERR1588812, ERR1588837, ERR754054, ERR754079, ERR754088, ERR1588795, ERR1588796, ERR754072, ERR754075, ERR1417897, ERR1417895, ERR1588841, ERR1588842, ERR1588846, ERR1588855, ERR1417903, ERR1417900, ERR1417901, ERR1417899, ERR1417907, ERR1417904, ERR1417906, ERR1417909, ERR1588883, ERR1588895, ERR1588905, ERR1588899, ERR754074, ERR754086, ERR754089, ERR1588929, ERR1588930, ERR1588931, ERR1588932, ERR1588933, ERR1588934, ERR1588935, ERR1588936, ERR1588942, ERR1588960, ERR1588978, ERR1588968, ERR1589012, ERR1588966, ERR754073, ERR754063, SRR32771550, SRR32771551, SRR32771552, SRR11993645, SRR11993681, SRR11993717, SRR11993701, SRR11993665, SRR11993629, SRR1162111, SRR1162112, SRR1162113, SRR1162114, SRR1162015, SRR1162016, SRR1162017, SRR1162018, SRR1162019, SRR1162020, SRR1162021, SRR1162115, SRR1162116, SRR1162022, SRR1162023, SRR1162024"
ws-4,"ERR4013317;ERR4013317;ERR4013318;ERR4013319;ERR4013320;ERR4013321;ERR4013322;ERR4013323;ERR4013324;ERR4013325;ERR4013326;ERR4013327;ERR4013328;ERR4013317;ERR4013318;ERR4013319;ERR4013320;ERR4013321;ERR4013322;ERR4013323;ERR4013324;ERR4013325;ERR4013326;ERR4013327;ERR4013328;ERR4013317;ERR4013318;ERR4013319;ERR4013320;ERR4013321;ERR4013322;ERR4013323;ERR4013324;ERR4013325;ERR4013326;ERR4013327;ERR4013328;ERR4013317, ERR4013318, ERR4013319, ERR4013320, ERR4013321, ERR4013322, ERR4013323, ERR4013324, ERR4013325, ERR4013326, ERR4013327, ERR4013328;ERR4013317;ERR4013318;ERR4013319;ERR4013320;ERR4013321;ERR4013322;ERR4013323;ERR4013324;ERR4013325;ERR4013326;ERR4013327;ERR4013328"
