(2R,3S)-3-Isopropylmalate	CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
Zeinoxanthin	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CCCC2(C)C)C)C)C
[Enzyme]-S-sulfanylcysteine	
[Enzyme]-cysteine	
[FA0101] FA 16:0	
[FA0101] FA 16:1(7Z)	
[FA0101] FA 16:2(7Z,10Z)	
[FA0101] FA 16:3(7Z,10Z,13Z)	
[FA0101] FA 18:0	
[FA0101] FA 18:1(9Z)	
[FA0101] FA 18:2(9Z,12Z)	
[FA0101] FA 18:3(9Z,12Z,15Z)	
[FA0200] FA 18:3;O2 [(9Z,11E,15Z)-(13S)-Hydroperoxyoctadeca-9,11,15-trienoate]	
[FA0200] FA 18:4;O [(9Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoate]	
[FA0201] FA 18:4;O [(15Z)-12-Oxophyto-10,15-dienoate]	
[FA0705] CoA 16:0 [Palmitoyl-CoA]	
[FA0705] CoA 16:1(7Z) [cis-hexadec-7-enoyl-CoA]	
[FA0705] CoA 16:2(7Z,10Z) [(7Z,10Z)-Hexadecadienoyl-CoA]	
[FA0705] CoA 16:3(7Z,10Z,13Z) [(7Z,10Z,13Z)-Hexadecatrienoyl-CoA]	
[FA0705] CoA 18:0 [Stearoyl-CoA]	
[FA0705] CoA 18:1(9Z) [Oleoyl-CoA]	
[FA0705] CoA 18:2(9Z,12Z) [Linoleoyl-CoA]	
[FA0705] CoA 18:3(9Z,12Z,15Z) [Linolenoyl-CoA]	
[FA0705] CoA 2:0 [Acetyl coenzyme A]	
[FA0705] CoA 3:1;O2 [Malonyl-Coenzyme A]	
[FA0706] 10:0-acp [Decanoyl-(acyl-carrier-protein)]	
[FA0706] 10:0;O-acp [(R)-3-Hydroxydecanoyl-(acyl-carrier-protein)]	
[FA0706] 10:1(2E)-acp [10:1(2E)-acp [trans-Dec-2-enoyl-(acyl-carrier-protein)]]	
[FA0706] 10:1;O-acp [3-Oxodecanoyl-(acyl-carrier-protein)]	
[FA0706] 12:0-acp [Lauroyl-(acyl-carrier-protein)]	
[FA0706] 12:0;O-acp [(R)-3-Hydroxydodecanoyl-(acyl-carrier-protein)]	
[FA0706] 12:1(2E)-acp [trans-Dodec-2-enoyl-(acyl-carrier-protein)]	
[FA0706] 12:1;O-acp [3-Oxododecanoyl-(acyl-carrier-protein)]	
[FA0706] 14:0-acp [Tetradecanoyl-(acyl-carrier-protein)]	
[FA0706] 14:0;O-acp [(3R)-3-Hydroxytetradecanoyl-(acyl-carrier-protein)]	
[FA0706] 14:1(2E)-acp [trans-Tetradec-2-enoyl-(acyl-carrier-protein)]	
[FA0706] 14:1;O-acp [3-Oxotetradecanoyl-(acyl-carrier-protein)]	
[FA0706] 16:0-acp [Hexadecanoyl-[acyl-carrier-protein]]	
[FA0706] 16:0;O-acp [(3R)-3-Hydroxypalmitoyl-(acyl-carrier-protein)]	
[FA0706] 16:1(2E)-acp [trans-Hexadec-2-enoyl-(acyl-carrier-protein)]	
[FA0706] 16:1;O-acp [3-Oxohexadecanoyl-(acyl-carrier-protein)]	
[FA0706] 18:0-acp [Stearoyl-(acyl-carrier-protein)]	
[FA0706] 18:0;O-acp [(R)-3-Hydroxyoctadecanoyl-(acyl-carrier-protein)]	
[FA0706] 18:1(2E)-acp [trans-Octadec-2-enoyl-(acyl-carrier-protein)]	
[FA0706] 18:1(9Z)-acp [Oleoyl-(acyl-carrier-protein)]	
[FA0706] 18:1;O-acp [3-Oxostearoyl-(acyl-carrier-protein)]	
[FA0706] 4:0-acp [Acetoacetyl-(acyl-carrier-protein)]	
[FA0706] 4:0-acp [Butyryl-(acyl-carrier-protein)]	
[FA0706] 4:0;3OH-acp [(3R)-3-Hydroxybutanoyl-(acyl-carrier-protein)]	
[FA0706] 4:1(2E)-acp [But-2-enoyl-(acyl-carrier-protein)]	
[FA0706] 6:0-acp [Hexanoyl-(acyl-carrier-protein)]	
[FA0706] 6:0;O-acp [(R)-3-Hydroxyhexanoyl-(acyl-carrier-protein)]	
[FA0706] 6:1(2E)-acp [trans-Hex-2-enoyl-(acyl-carrier-protein)]	
[FA0706] 6:1;O-acp [3-Oxohexanoyl-(acyl-carrier-protein)]	
[FA0706] 8:0-acp [Octanoyl-(acyl-carrier-protein)]	
[FA0706] 8:1(2E)-acp [trans-Oct-2-enoyl-(acyl-carrier-protein)]	
[FA0706] 8:1;O-acp [(3R)-3-Hydroxyoctanoyl-(acyl-carrier-protein)]	
[FA0706] 8:1;O-acp [3-Oxooctanoyl-(acyl-carrier-protein)]	
[GL0201] DG(16:0/16:0)	
[GL0201] DG(16:0/18:2(9Z,12Z)), eukaryotic	
[GL0201] DG(16:0/18:3(9Z,12Z,15Z)), eukaryotic	
[GL0201] DG(16:1(7Z)/16:1(7Z))	
[GL0201] DG(16:1(7Z)_16:0)	
[GL0201] DG(16:1(7Z)_16:2(7Z,10Z))	
[GL0201] DG(16:2(7Z,10Z)/16:2(7Z,10Z))	
[GL0201] DG(16:2(7Z,10Z)/16:3(7Z,10Z,13Z))	
[GL0201] DG(18:1(9Z)/16:0), prokaryotic	
[GL0201] DG(18:1(9Z)/16:1(7Z)), prokaryotic	
[GL0201] DG(18:1(9Z)/16:2(7Z,10Z)), prokaryotic	
[GL0201] DG(18:1(9Z)_18:2(9Z,12Z))	
[GL0201] DG(18:2(9Z,12Z)/16:1(7Z)), prokaryotic	
[GL0201] DG(18:2(9Z,12Z)/16:2(7Z,10Z)), prokaryotic	
[GL0201] DG(18:2(9Z,12Z)/16:3(7Z,10Z,13Z)), prokaryotic	
[GL0201] DG(18:2(9Z,12Z)/18:2(9Z,12Z))	
[GL0201] DG(18:2(9Z,12Z)_18:3(9Z,12Z,15Z))	
[GL0201] DG(18:3(9Z,12Z,15Z)/16:2(7Z,10Z)), prokaryotic	
[GL0201] DG(18:3(9Z,12Z,15Z)/16:3(7Z,10Z,13Z)), prokaryotic	
[GL0201] DG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))	
[GL0301] TG(16:0/16:0/16:0)	
[GL0301] TG(16:0/16:0/16:2(7Z,10Z))	
[GL0301] TG(16:0/16:0/16:3(7Z,10Z,13Z))	
[GL0301] TG(16:0/16:0/18:0)	
[GL0301] TG(16:0/16:0/18:2(9Z,12Z))	
[GL0301] TG(16:0/18:3(9Z,12Z,15Z)/18:0)	
[GL0301] TG(16:0_16:0_16:1(7Z))	
[GL0301] TG(16:0_16:0_18:1(9Z))	
[GL0301] TG(16:0_16:0_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:0_16:1(7Z)_16:1(7Z))	
[GL0301] TG(16:0_16:1(7Z)_16:2(7Z,10Z))	
[GL0301] TG(16:0_16:1(7Z)_18:1(9Z))	
[GL0301] TG(16:0_16:1(7Z)_18:2(9Z,12Z))	
[GL0301] TG(16:0_16:1(7Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:0_16:2(7Z,10Z)_18:1(9Z))	
[GL0301] TG(16:0_16:2(7Z,10Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:0_16:3(7Z,10Z,13Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:0_18:1(9Z)_18:2(9Z,12Z))	
[GL0301] TG(16:0_18:1(9Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:0_18:2(9Z,12Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:0_18:3(9Z,12Z,15Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:1(7Z)/16:0/16:3(7Z,10Z,13Z))	
[GL0301] TG(16:1(7Z)/16:0/18:0)	
[GL0301] TG(16:1(7Z)/16:1(7Z)/16:1(7Z))	
[GL0301] TG(16:1(7Z)/16:1(7Z)/16:3(7Z,10Z,13Z))	
[GL0301] TG(16:1(7Z)/16:1(7Z)/18:0)	
[GL0301] TG(16:1(7Z)/16:1(7Z)/18:3(9Z,12Z,15Z))	
[GL0301] TG(16:1(7Z)/16:2(7Z,10Z)/18:0)	
[GL0301] TG(16:1(7Z)_16:1(7Z)_16:2(7Z,10Z))	
[GL0301] TG(16:1(7Z)_16:1(7Z)_18:1(9Z))	
[GL0301] TG(16:1(7Z)_16:1(7Z)_18:2(9Z,12Z))	
[GL0301] TG(16:1(7Z)_16:2(7Z,10Z)_16:2(7Z,10Z))	
[GL0301] TG(16:1(7Z)_16:2(7Z,10Z)_16:3(7Z,10Z,13Z))	
[GL0301] TG(16:1(7Z)_16:2(7Z,10Z)_18:1(9Z))	
[GL0301] TG(16:1(7Z)_16:2(7Z,10Z)_18:2(9Z,12Z))	
[GL0301] TG(16:1(7Z)_16:2(7Z,10Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:1(7Z)_16:3(7Z,10Z,13Z)_18:2(9Z,12Z))	
[GL0301] TG(16:1(7Z)_18:1(9Z)_18:2(9Z,12Z))	
[GL0301] TG(16:1(7Z)_18:2(9Z,12Z)_18:2(9Z,12Z))	
[GL0301] TG(16:1(7Z)_18:2(9Z,12Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:2(7Z,10Z)/16:2(7Z,10Z)/16:0)	
[GL0301] TG(16:2(7Z,10Z)/16:2(7Z,10Z)/16:2(7Z,10Z))	
[GL0301] TG(16:2(7Z,10Z)/16:2(7Z,10Z)/18:0)	
[GL0301] TG(16:2(7Z,10Z)/16:3(7Z,10Z,13Z)/16:0)	
[GL0301] TG(16:2(7Z,10Z)/16:3(7Z,10Z,13Z)/16:3(7Z,10Z,13Z))	
[GL0301] TG(16:2(7Z,10Z)/16:3(7Z,10Z,13Z)/18:0)	
[GL0301] TG(16:2(7Z,10Z)_16:2(7Z,10Z)_16:3(7Z,10Z,13Z))	
[GL0301] TG(16:2(7Z,10Z)_16:2(7Z,10Z)_18:1(9Z))	
[GL0301] TG(16:2(7Z,10Z)_16:2(7Z,10Z)_18:2(9Z,12Z))	
[GL0301] TG(16:2(7Z,10Z)_16:2(7Z,10Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:2(7Z,10Z)_16:3(7Z,10Z,13Z)_18:1(9Z))	
[GL0301] TG(16:2(7Z,10Z)_16:3(7Z,10Z,13Z)_18:2(9Z,12Z))	
[GL0301] TG(16:2(7Z,10Z)_16:3(7Z,10Z,13Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:2(7Z,10Z)_18:1(9Z)_18:2(9Z,12Z))	
[GL0301] TG(16:2(7Z,10Z)_18:1(9Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:2(7Z,10Z)_18:2(9Z,12Z)_18:2(9Z,12Z))	
[GL0301] TG(16:2(7Z,10Z)_18:2(9Z,12Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:2(7Z,10Z)_18:3(9Z,12Z,15Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:3(7Z,10Z,13Z)_18:1(9Z)_18:2(9Z,12Z))	
[GL0301] TG(16:3(7Z,10Z,13Z)_18:2(9Z,12Z)_18:2(9Z,12Z))	
[GL0301] TG(16:3(7Z,10Z,13Z)_18:2(9Z,12Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(16:3(7Z,10Z,13Z)_18:3(9Z,12Z,15Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(18:1(9Z)/16:0/16:3(7Z,10Z,13Z))	
[GL0301] TG(18:1(9Z)/16:0/18:0)	
[GL0301] TG(18:1(9Z)/16:0/18:1(9Z))	
[GL0301] TG(18:1(9Z)/16:1(7Z)/16:3(7Z,10Z,13Z))	
[GL0301] TG(18:1(9Z)/16:1(7Z)/18:0)	
[GL0301] TG(18:1(9Z)/16:1(7Z)/18:1(9Z))	
[GL0301] TG(18:1(9Z)/16:1(7Z)/18:3(9Z,12Z,15Z))	
[GL0301] TG(18:1(9Z)/16:2(7Z,10Z)/18:0)	
[GL0301] TG(18:1(9Z)/16:2(7Z,10Z)/18:1(9Z))	
[GL0301] TG(18:1(9Z)/18:2(9Z,12Z)/18:0)	
[GL0301] TG(18:1(9Z)/18:2(9Z,12Z)/18:1(9Z))	
[GL0301] TG(18:1(9Z)_18:2(9Z,12Z)_18:2(9Z,12Z))	
[GL0301] TG(18:1(9Z)_18:2(9Z,12Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(18:2(9Z,12Z)/16:1(7Z)/18:0)	
[GL0301] TG(18:2(9Z,12Z)/16:2(7Z,10Z)/16:0)	
[GL0301] TG(18:2(9Z,12Z)/16:2(7Z,10Z)/18:0)	
[GL0301] TG(18:2(9Z,12Z)/16:3(7Z,10Z,13Z)/16:0)	
[GL0301] TG(18:2(9Z,12Z)/16:3(7Z,10Z,13Z)/16:3(7Z,10Z,13Z))	
[GL0301] TG(18:2(9Z,12Z)/16:3(7Z,10Z,13Z)/18:0)	
[GL0301] TG(18:2(9Z,12Z)/18:2(9Z,12Z)/16:0)	
[GL0301] TG(18:2(9Z,12Z)/18:2(9Z,12Z)/18:0)	
[GL0301] TG(18:2(9Z,12Z)/18:2(9Z,12Z)/18:2(9Z,12Z))	
[GL0301] TG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/18:0)	
[GL0301] TG(18:2(9Z,12Z)_18:2(9Z,12Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(18:2(9Z,12Z)_18:3(9Z,12Z,15Z)_18:3(9Z,12Z,15Z))	
[GL0301] TG(18:3(9Z,12Z,15Z)/16:2(7Z,10Z)/18:0)	
[GL0301] TG(18:3(9Z,12Z,15Z)/16:3(7Z,10Z,13Z)/16:1(7Z))	
[GL0301] TG(18:3(9Z,12Z,15Z)/16:3(7Z,10Z,13Z)/16:3(7Z,10Z,13Z))	
[GL0301] TG(18:3(9Z,12Z,15Z)/16:3(7Z,10Z,13Z)/18:0)	
[GL0301] TG(18:3(9Z,12Z,15Z)/16:3(7Z,10Z,13Z)/18:1(9Z))	
[GL0301] TG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/16:1(7Z))	
[GL0301] TG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/18:0)	
[GL0301] TG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/18:1(9Z))	
[GL0301] TG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))	
[GL0401] MGMG(0:0/16:2(7Z,10Z))	
[GL0401] MGMG(0:0/16:3(7Z,10Z,13Z))	
[GL0401] MGMG(0:0/18:2(9Z,12Z))	
[GL0401] MGMG(0:0/18:3(9Z,12Z,15Z))	
[GL0501] DGDG(16:0/16:0)	
[GL0501] DGDG(16:0/18:2(9Z,12Z)), eukaryotic	
[GL0501] DGDG(16:0/18:3(9Z,12Z,15Z)), eukaryotic	
[GL0501] DGDG(16:0_16:1(7Z))	
[GL0501] DGDG(16:1(7Z)/16:1(7Z))	
[GL0501] DGDG(16:1(7Z)_16:2(7Z,10Z))	
[GL0501] DGDG(16:2(7Z,10Z)/16:2(7Z,10Z))	
[GL0501] DGDG(16:2(7Z,10Z)/16:3(7Z,10Z,13Z))	
[GL0501] DGDG(18:1(9Z)/16:0), prokaryotic	
[GL0501] DGDG(18:1(9Z)/16:1(7Z)), prokaryotic	
[GL0501] DGDG(18:1(9Z)/16:2(7Z,10Z)), prokaryotic	
[GL0501] DGDG(18:1(9Z)_18:2(9Z,12Z))	
[GL0501] DGDG(18:2(9Z,12Z)/16:0), prokaryotic	
[GL0501] DGDG(18:2(9Z,12Z)/16:1(7Z)), prokaryotic	
[GL0501] DGDG(18:2(9Z,12Z)/16:2(7Z,10Z)), prokaryotic	
[GL0501] DGDG(18:2(9Z,12Z)/16:3(7Z,10Z,13Z)), prokaryotic	
[GL0501] DGDG(18:2(9Z,12Z)/18:2(9Z,12Z))	
[GL0501] DGDG(18:2(9Z,12Z)_18:3(9Z,12Z,15Z))	
[GL0501] DGDG(18:3(9Z,12Z,15Z)/16:0), prokaryotic	
[GL0501] DGDG(18:3(9Z,12Z,15Z)/16:2(7Z,10Z)), prokaryotic	
[GL0501] DGDG(18:3(9Z,12Z,15Z)/16:3(7Z,10Z,13Z)), prokaryotic	
[GL0501] DGDG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))	
[GL0501] MGDG(16:0/16:0)	
[GL0501] MGDG(16:0/16:1(7Z))	
[GL0501] MGDG(16:0/16:2(7Z,10Z))	
[GL0501] MGDG(16:0/16:3(7Z,10Z,13Z))	
[GL0501] MGDG(16:0/18:2(9Z,12Z)), eukaryotic	
[GL0501] MGDG(16:0/18:3(9Z,12Z,15Z)), eukaryotic	
[GL0501] MGDG(16:1(7Z)/16:1(7Z))	
[GL0501] MGDG(16:1(7Z)/16:2(7Z,10Z))	
[GL0501] MGDG(16:2(7Z,10Z)/16:2(7Z,10Z))	
[GL0501] MGDG(16:2(7Z,10Z)/16:3(7Z,10Z,13Z))	
[GL0501] MGDG(18:0/16:2(7Z,10Z)), prokaryotic	
[GL0501] MGDG(18:0/16:3(7Z,10Z,13Z)), prokaryotic	
[GL0501] MGDG(18:0/18:2(9Z,12Z))	
[GL0501] MGDG(18:0/18:3(9Z,12Z,15Z))	
[GL0501] MGDG(18:1(9Z)/16:0), prokaryotic	
[GL0501] MGDG(18:1(9Z)/16:1(7Z)), prokaryotic	
[GL0501] MGDG(18:1(9Z)/16:2(7Z,10Z)), prokaryotic	
[GL0501] MGDG(18:1(9Z)/16:3(7Z,10Z,13Z)), prokaryotic	
[GL0501] MGDG(18:1(9Z)/18:2(9Z,12Z))	
[GL0501] MGDG(18:1(9Z)/18:3(9Z,12Z,15Z))	
[GL0501] MGDG(18:2(9Z,12Z)/16:1(7Z)), prokaryotic	
[GL0501] MGDG(18:2(9Z,12Z)/16:2(7Z,10Z)), prokaryotic	
[GL0501] MGDG(18:2(9Z,12Z)/16:3(7Z,10Z,13Z)), prokaryotic	
[GL0501] MGDG(18:2(9Z,12Z)/18:2(9Z,12Z))	
[GL0501] MGDG(18:2(9Z,12Z)_18:3(9Z,12Z,15Z))	
[GL0501] MGDG(18:3(9Z,12Z,15Z)/16:2(7Z,10Z)), prokaryotic	
[GL0501] MGDG(18:3(9Z,12Z,15Z)/16:3(7Z,10Z,13Z)), prokaryotic	
[GL0501] MGDG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))	
[GL0501] SQDG(16:0/18:2(9Z,12Z)), eukaryotic	
[GL0501] SQDG(16:0/18:3(9Z,12Z,15Z)), eukaryotic	
[GL0501] SQDG(18:1(9Z)/16:0), prokaryotic	
[GL0501] SQDG(18:2(9Z,12Z)/16:0), prokaryotic	
[GL0501] SQDG(18:3(9Z,12Z,15Z)/16:0), prokaryotic	
[GP0101] PC(16:0/18:2(9Z,12Z))	
[GP0101] PC(18:1(9Z)_18:2(9Z,12Z))	
[GP0101] PC(18:2(9Z,12Z)/18:2(9Z,12Z))	
[GP0401] PG(18:1(9Z)/16:0), prokaryotic	
[GP0401] PG(18:1(9Z)/16:1(3E)), prokaryotic	
[GP0401] PG(18:2(9Z,12Z)/16:1(3E)), prokaryotic	
[GP0401] PG(18:3(9Z,12Z,15Z)/16:1(3E)), prokaryotic	
[GP0501] PGP(18:1(9Z)/16:0), prokaryotic	
[GP1001] PA(16:0/16:0)	
[GP1001] PA(16:0/18:2(9Z,12Z)), eukaryotic	
[GP1001] PA(18:1(9Z)/16:0), prokaryotic	
[GP1001] PA(18:1(9Z)_18:2(9Z,12Z))	
[GP1001] PA(18:2(9Z,12Z)/18:2(9Z,12Z))	
[GP1005] LPA(16:0/0:0)	
[GP1005] LPA(18:1(9Z)/0:0), prokaryotic	
[GP1301] CDP-DG(18:1(9Z)/16:0), prokaryotic	
[Oxidized NADPH---hemoprotein reductase]	
[PR0101] 1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	
[PR0101] Isopentenyl_diphosphate	
[PR010301] trans_trans-Farnesyl_diphosphate	
[PR010401] Chlorophyll_a	
[PR010401] Chlorophyll_b	
[PR010401] Phytol	
[PR010401] Phytyl_diphosphate	
[Protein]-L-cysteine	
[Protein]-S-sulfanyl-L-cysteine	
[Reduced NADPH---hemoprotein reductase]	
adenylo-succinate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O)NC(CC(=O)[O-])C(=O)[O-]
all-trans-Neurosporene	CC(=CCCC(=CCCC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C
all-trans-Phytoene	CC(=CCCC(=CCCC(=CCCC(=CC=CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C
all-trans-Phytofluene	CC(=CCCC(=CCCC(=CCCC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C
all-trans-zeta-Carotene	CC(=CCCC(=CCCC(=CC=CC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C
alpha,beta-Dihydroxyethyl-TPP	CC1=C(SC(=C(CO)O)N1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O
alpha-Carotene	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CCCC2(C)C)C)C)C
alpha-Cryptoxanthin	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C
alpha-D-Glucose	C(C1C(C(C(C(O1)O)O)O)O)O
alpha-D-Glucose 6-phosphate	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
alpha-Isopropylmalate	CC(C)C(CC(=O)O)(C(=O)O)O
alpha-Ketoglutarate, 2-Oxoglutarate	
beta-Carotene	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C
beta-Cryptoxanthin	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)O)C)C)C
beta-D-Glucose	C(C1C(C(C(C(O1)O)O)O)O)O
beta-D-glucose 6-phosphate	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
cis-Aconitate	C(C(=CC(=O)O)C(=O)O)C(=O)O
dADP	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O
dATP	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
delta-Carotene	CC1=CCCC(C1C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)(C)C
fatty acid backbone	
gamma-L-Glutamyl-L-cysteine	C(CC(=O)NC(CS)C(=O)O)C(C(=O)O)N
gamma-carotene	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C
holo-[acyl-carrier-protein]	
iminoaspartate	C(C(=N)C(=O)O)C(=O)O
meso-Diaminopimelate	C(CC(C(=O)[O-])[NH3+])CC(C(=O)[O-])[NH3+]
neoxanthin	CC(=CC=CC=C(C)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C
pPg	
pPr	
photon_loss	
photorespiration exchange constraint	
precursors produced in chloroplast	
quinolinate	C1=CC(=C(N=C1)C(=O)O)C(=O)O
rubisco carboxylation/oxygenation constraint	
sn-Glycerol 3-phosphate	C(C(COP(=O)(O)O)O)O
tRNA containing 6-isopentenyladenosine	
tRNA(Glu)	
trans-Zeatin riboside	CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)CO
trans-Zeatin riboside diphosphate	CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)CO
trans-Zeatin riboside monophosphate	CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)CO
trans-Zeatin riboside triphosphate	CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)CO
	
Suc[c]	
(+)-Bornane-2,5-dione	CC1(C2CC(=O)C1(CC2=O)C)C
(+)-Linalool	CC(=CCCC(C)(C=C)O)C
(+)-exo-5-Hydroxycamphor	CC1(C2CC(=O)C1(CC2O)C)C
(11R)-Carlactonoic acid	CC1=C(C(CCC1)(C)C)C=CC(=COC2C=C(C(=O)O2)C)C(=O)O
(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate	CCCCCC(C=CC=CCC=CCC=CCCCC(=O)O)O
(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(1R,2S)-Naphthalene 1,2-oxide	C1=CC=C2C3C(O3)C=CC2=C1
(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate	C1=CC(C(C(=C1)C(=O)CCC(=O)O)C(=O)O)O
(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(1S,2R)-Naphthalene 1,2-oxide	C1=CC=C2C3C(O3)C=CC2=C1
(2E,4E,6E)-7-Hydroxy-4-methylhepta-2,4,6-trienal	CC(=CC=CO)C=CC=O
(2E,6E)-Farnesol	CC(=CCCC(=CCCC(=CCO)C)C)C
(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate	CC(C(CC(=O)[O-])C(=O)[O-])(C(=O)[O-])O
(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA	CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(3R)-3-Hydroxyacyl-[acyl-carrier protein]	C(CO)C(=O)S
(3Z)-Phytochromobilin	CC=C1C(C(=O)NC1=CC2=C(C(=C(N2)C=C3C(=C(C(=CC4=NC(=O)C(=C4C)C=C)N3)C)CCC(=O)O)CCC(=O)O)C)C
(4R)-4-Hydroxy-2-oxoglutarate	C(C(C(=O)[O-])O)C(=O)C(=O)[O-]
(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide	C1CC(=CN(C1O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate	C1CC(=CN(C1O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N
(9Z)-Hexadecenoic acid	CCCCCCC=CCCCCCCCC(=O)O
(9Z,12Z,15Z)-Octadecatrienoic acid	CCC=CCC=CCC=CCCCCCCCC(=O)O
(Indol-3-yl)acetamide	C1=CC=C2C(=C1)C(=CN2)CC(=O)N
