(2R,3S)-3-Isopropylmalate	CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
5-Amino-6-(5'-phosphoribosylamino)uracil	C(C1C(C(C(O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)(O)O
5-Aminoimidazole ribonucleotide	C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)N
5-Aminolevulinate	C(CC(=O)O)C(=O)CN
5-Enolpyruvyl-shikimate-3-phosphate	
5-Formamidoimidazole-4-carboxamide ribotide	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)NC=O)C(=O)N
5-Methyltetrahydropteroyltri-L-glutamate	CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O
5-Phosphoribosyl 1-pyrophosphate	C(C1C(C(C(O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N
5-amino-1-(5-phosphonato-D-ribosyl)imidazolium-4-carboxylate	
5-phospho-beta-D-ribosylaminium	
5-phosphoribosyl-N-formyl glycineamidine	
5-phosphoribosyl-formylglycinamide	
5-phosphoribosylglycineamide	
6,7-Dimethyl-8-(D-ribityl)lumazine	CC1=C(N(C2=NC(=O)NC(=O)C2=N1)CC(C(C(CO)O)O)O)C
6-Phospho-D-gluconate	C(C(C(C(C(C(=O)O)O)O)O)O)OP(=O)(O)O
7(1)-Hydroxychlorophyll_a	
7(1)-Hydroxychlorophyllide_a	
7,9,7',9'-tetracis-Lycopene	CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C
7,9,9'-tricis-Neurosporene	CC(=CCCC(=CCCC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C
9'-cis-Neoxanthin	CC(=CC=CC=C(C)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C
9,15,9'-tricis-zeta-Carotene	CC(=CCCC(=CCCC(=CC=CC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C
9,9'-dicis-zeta-Carotene	CC(=CCCC(=CCCC(=CC=CC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C
ADP-Glucose	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N
Acetate	CC(=O)[O-]
Acetyl adenylate	CC(=O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
Adenosine 5-diphosphate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N
Adenosine 5-monophosphate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
Adenosine 5-phosphosulfate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N
Adenosine 5-triphosphate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
Adenosylhomocysteine	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N
Adonixanthin	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C
Ammonia	N
Antheraxanthin	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C)C)C
Anthranilate	C1=CC=C(C(=C1)C(=O)[O-])N
Arogenate	C1=CC(C=CC1O)(CC(C(=O)O)N)C(=O)O
Ascorbate	C(C(C1C(=C(C(=O)O1)[O-])O)O)O
Aspartate	C(C(C(=O)O)N)C(=O)O
Aspartate 4-semialdehyde	
Aspartyl-4-phosphate	
Bicarbonate	C(=O)(O)[O-]
C25-Allenic-apo-aldehyde	CC(=CC=CC=C(C)C=O)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C
CDP	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O
CDP-DG C34 backbone	
CO2, carbon dioxide	
Carbamate	C(=O)(N)[O-]
Carbamoyl phosphate	C(=O)(N)OP(=O)(O)O
Carboxyphosphate	C(=O)(O)OP(=O)(O)O
Chelirubine	C[N+]1=CC2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C=C4)OCO6)OC)OCO3
Chlorophyll backbone	
Chlorophyll-a chain	
Chlorophyll-b chain	
Chlorophyllide a	CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5C(C(C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)C(C4=O)C(=O)OC)C)C.[Mg+2]
Chlorophyllide_b	
Choline	C[N+](C)(C)CCO
Chorismate	C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O
Citrate	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
Coenzyme A	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O
Coproporphyrinogen_III	
Cystathionine	C(CSCC(C(=O)O)N)C(C(=O)O)N
Cysteine	C(C(C(=O)O)N)S
Cytidine 5-monophosphate	
Cytidine triphosphate	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
D-Erythrose 4-phosphate	C(C(C(C=O)O)O)OP(=O)(O)O
D-Fructose 6-phosphate	C(C1C(C(C(O1)(CO)O)O)O)OP(=O)(O)O
D-Glucose 6-phosphate	C(C(C(C(C(C=O)O)O)O)O)OP(=O)(O)O
D-Ribose	C1C(C(C(C(O1)O)O)O)O
D-Ribose 5-phosphate	C(C1C(C(C(O1)O)O)O)OP(=O)(O)O
D-Ribulose 5-phosphate	C(C(C(C(=O)CO)O)O)OP(=O)(O)O
D-Xylulose 5-phosphate	C(C(C(C(=O)CO)O)O)OP(=O)(O)O
D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	C1=C(NC=N1)C(C(COP(=O)(O)O)O)O
D-glycerate	C(C(C(=O)[O-])O)O
DG backbone	
DGDG C32 backbone	
DGDG C34 backbone	
DGDG C36 backbone	
DGDG backbone	
Dehydroascorbate	C(C(C1C(=O)C(=O)C(=O)O1)O)O
Diaminopimelate	C(CC(C(=O)[O-])N)CC(C(=O)[O-])N
Dihydrochelirubine	CN1CC2=C3C(=CC(=C2C4=C1C5=CC6=C(C=C5C=C4)OCO6)OC)OCO3
Dihydrosanguinarine	CN1CC2=C(C=CC3=C2OCO3)C4=C1C5=CC6=C(C=C5C=C4)OCO6
Dihydroxyacetone phosphate	C(C(=O)COP(=O)(O)O)O
Dimethylallyl_diphosphate	
Diphosphate, Pyrophosphate	
Divinyl chlorophyllide a	CC1C(C2=C3C(C(=O)C4=C3[N-]C(=C4C)C=C5C(=C(C(=N5)C=C6C(=C(C(=CC1=N2)[N-]6)C)C=C)C)C=C)C(=O)OC)CCC(=O)O.[Mg+2]
Divinylprotochlorophyllide	
Dopaquinone	C1=CC(=O)C(=O)C=C1CC(C(=O)O)N
Echinenone	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)CCC2(C)C)C)C)C
Enzyme N6-(dihydrolipoyl)lysine	
Enzyme N6-(lipoyl)lysine	
Erythrose 4-phosphate	C(C(C(C=O)O)O)OP(=O)(O)O
FA 16:0 chain	
FA 16:1(7Z) chain	
FA 16:2(7Z,10Z) chain	
FA 16:3(7Z,10Z,13Z) chain	
FA 18:0 chain	
FA 18:1(9Z) chain	
FA 18:2(9Z,12Z) chain	
FA 18:3(9Z,12Z,15Z) chain	
FAD; Flavin adenine dinucleotide	
FMN; Riboflavin-5-phosphate	
Formate	C(=O)[O-]
Fructose 1,6-bisphosphate	C(C1C(C(C(O1)COP(=O)(O)O)O)O)OP(=O)(O)O
Fumarate	C(=CC(=O)[O-])C(=O)[O-]
Geranyl_diphosphate	
Geranylgeranyl_diphosphate	
Glucono-delta-lactone-6-phosphate	
Glucose	C(C1C(C(C(C(O1)O)O)O)O)O
Glucose 1-phosphate	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
Glutamate	C(CC(=O)O)C(C(=O)O)N
Glutamine	C(CC(=O)N)C(C(=O)O)N
Glutathione	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
Glutathione disulfide	C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N
Glyceraldehyde 3-phosphate	C(C(C=O)O)OP(=O)(O)O
Glycerate	C(C(C(=O)[O-])O)O
Glycine	C(C(=O)O)N
Glycolate	C(C(=O)O)O
Guanosine diphosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
Guanosine triphosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
H+, proton	
H2O, water	
Homocysteine	C(CS)C(C(=O)O)N
Homoserine	C(CO)C(C(=O)O)N
Hydrogen peroxide	OO
Hydrogen selenide	[SeH2]
Hydroquinone	C1=CC(=CC=C1O)O
Hydrosulfide	[SH-]
Hydroxymethylbilane	C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O
IDP	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O
ITP	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
Indole	C1=CC=C2C(=C1)C=CN2
Indoleglycerol phosphate	C1=CC=C2C(=C1)C(=CN2)C(C(COP(=O)(O)O)O)O
Inosine 5-Monophosphate	
Isocitrate	C(C(C(C(=O)O)O)C(=O)O)C(=O)O
L-3,4-Dihydroxybutan-2-one 4-phosphate	CC(=O)C(COP(=O)(O)O)O
L-Alanine	CC(C(=O)O)N
L-Arginine	C(CC(C(=O)O)N)CN=C(N)N
L-Asparagine	C(C(C(=O)O)N)C(=O)N
L-Citrulline	C(CC(C(=O)O)N)CNC(=O)N
L-Glutamyl-tRNA(Glu)	
L-Histidine	C1=C(NC=N1)CC(C(=O)O)N
L-Histidinol phosphate	C1=C(NC=N1)CC(COP(=O)(O)O)N
L-Isoleucine	CCC(C)C(C(=O)O)N
L-Leucine	CC(C)CC(C(=O)O)N
L-Methionine	CSCCC(C(=O)O)N
L-Ornithine	C(CC(C(=O)O)N)CN
L-Proline	C1CC(NC1)C(=O)O
L-Selenocysteine	C(C(C(=O)O)N)[SeH]
L-Threonine	CC(C(C(=O)O)N)O
L-Tryptophan	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
L-Tyrosine	C1=CC(=CC=C1CC(C(=O)O)N)O
L-Valine	CC(C)C(C(=O)O)N
L-gamma-glutamyl	
L-glutamic	
L-histidinal	C1=C(NC=N1)CC(C=O)N
L-histidinol	C1=C(NC=N1)CC(CO)N
LPA backbone	
Lipid	
Lipid backbone	
Lipid chain	
Lutein	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C
Lycopene	CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C
Lysine	C(CCN)CC(C(=O)O)N
MGDG C32 backbone	
MGDG C34 backbone	
MGDG C36 backbone	
MGDG backbone	
MGMG backbone	
Magnesium_cation	
Magnesium_protoporphyrin	
Magnesium_protoporphyrin_monomethyl_ester	
Malate	C(C(C(=O)[O-])O)C(=O)[O-]
Malonyl-acyl-carrier-protein	
Maltose	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
Mercaptopyruvate	C(C(=O)C(=O)O)S
Monodehydroascorbate	C(C(C1C(=O)C(=C(O1)O)O)O)O
N(6)-[(R)-S(8)-ammoniomethyldihydrolipoyl]-L-lysine(1+)	
N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)NC=NCC(=O)C(C(COP(=O)(O)O)O)O)C(=O)N
N-(5-Phospho-D-ribosyl)anthranilate	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O
N-(L-Arginino)succinate	C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O
N-Acetyl-L-glutamate	CC(=O)NC(CCC(=O)O)C(=O)O
N-Acetyl-L-glutamate 5-phosphate	CC(=O)NC(CCC(=O)OP(=O)(O)O)C(=O)O
N-Acetyl-L-glutamate 5-semialdehyde	CC(=O)NC(CCC=O)C(=O)O
N-Acetylornithine	CC(=O)NC(CCCN)C(=O)O
N-Carbamoyl-L-aspartate	C(C(C(=O)O)NC(=O)N)C(=O)O
N6-Prenyladenosine 5'-triphosphate	CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)C
NDP	C1=CC=C2C(=CC=C(C2=C1)CCC(=O)[O-])CCC(=O)[O-].[Na+].[Na+]
NDP-glucose	
Nicotinamide adenine dinucleotide	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
Nicotinamide adenine dinucleotide - reduced	
Nicotinamide adenine dinucleotide phosphate	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O)C(=O)N
Nicotinamide adenine dinucleotide phosphate - reduced	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
Nicotinic acid ribonucleotide	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)O)O)O)C(=O)[O-]
Nitrite	N(=O)[O-]
Nucleoside triphosphate	
O-Acetyl-L-serine	CC(=O)OCC(C(=O)O)N
O-Phosphohomoserine	C(COP(=O)(O)O)C(C(=O)O)N
O-Phosphoserine	C(C(C(=O)O)N)OP(=O)(O)O
O2, oxygen	
Orthophosphate	[O-]P(=O)([O-])[O-]
Oxaloacetate	C(C(=O)C(=O)O)C(=O)O
Oxalosuccinate	C(C(C(=O)C(=O)O)C(=O)O)C(=O)O
Oxidized ferredoxin	
Oxidized plastocyanin	
PA backbone	
PC backbone	
PG backbone	
PGP backbone	
Phenylalanine	C1=CC=C(C=C1)CC(C(=O)O)N
Phenylpyruvate	C1=CC=C(C=C1)CC(=O)C(=O)O
Phosphoenolpyruvate	C=C(C(=O)O)OP(=O)(O)O
Phosphoribosyl-AMP	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=CN(C2=N)C4C(C(C(O4)COP(=O)(O)O)O)O
Photon	
Phytyl chain	
Plastoquinol-9	CC1=C(C=C(C(=C1C)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O
Plastoquinone-9	CC1=C(C(=O)C(=CC1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C
Porphobilinogen	C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O
Prephenate	C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O
Prephytoene diphosphate	CC(=CCCC(=CCCC(=CCCC(=CC1C(C1(C)CCC=C(C)CCC=C(C)CCC=C(C)C)COP(=O)(O)OP(=O)(O)O)C)C)C)C
Propanoate	CCC(=O)[O-]
Propanoyl-CoA	CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Propionyladenylate	CCC(=O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
Protochlorophyllide	CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5C(=C(C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)C(C4=O)C(=O)OC)C)C.[Mg+2]
