Adenosine 5-triphosphate	Adenosine 5-diphosphate
Adenosine 5-triphosphate	Adenosine 5-monophosphate
Adenosine 5-diphosphate	Adenosine 5-monophosphate
Nicotinamide adenine dinucleotide - reduced	Nicotinamide adenine dinucleotide
Nicotinamide adenine dinucleotide phosphate - reduced	Nicotinamide adenine dinucleotide phosphate
