cyano_met_id,kegg_id
dctp_c[c],C00458
ddcaACP_c[c],C05223
dgdp_c[c],C00361
dgsn_c[c],C00330
dgtp_c[c],C00286
dha_c[c],C00184
dhap_c[c],C00111
dhf_c[c],C00415
dhna_c[c],C03657
dhnpt_c[c],C04874
dhor-S_c[c],C00337
dhpmp_c[c],C05925
dhpt_c[c],C00921
dhptn_c[c],C00268
dmbzi_c[c],C03114
dmlz_c[c],C04332
dmpp_c[c],C00235
dmtphllqne_c[c],C13309
dna5mtc_c[c],C02967
dnacyt_c[c],C00856
dnad_c[c],C00857
dpcoa_c[c],C00882
dpterol_c[c],C06309
dptne_c[c],C06310
s_c[c],C17023
dscl_c[c],C02463
dtbt_c[c],C01909
dtdp_c[c],C00363
dtdprmn_c[c],C03319
dtdpgal_c[c],C02097
dtdpglu_c[c],C00842
dtdprham_c[c],C00688
dtmp_c[c],C00364
dtocophe_c[c],C14151
dttp_c[c],C00459
udcpp_c[c],C17556
dudp_c[c],C01346
dump_c[c],C00365
dutp_c[c],C00460
dvpchlld_c[c],C11831
dxyl5p_c[c],C11437
e11_c[c],C00889
e11_p[p],C00889
e3mmal_c[c],C06032
e4hglu_c[c],C05947
e4p_c[c],C00279
echin_c[c],C08592
eig3p_c[c],C04666
etham_c[c],C00189
ethamp_c[c],C00346
etoh_c[c],C00469
f6p_c[c],C00085
fad_c[c],C00016
fadh2_c[c],C01352
fdp_c[c],C00354
fdxo-2_2_c[c],C00139
fdxr-2_2_c[c],C00138
fe2_c[c],C14818
fe2_p[p],C14818
fe2_e[e],C14818
fe3_c[c],C14819
fe3_p[p],C14818
fe3_e[e],C14819
feche_c[c],C06704
feche_e[e],C06704
fgam_c[c],C04376
ficytc6_l[l],C00125
flutox_c[c],C07293
fmettrna_c[c],C03294
fmnh2_c[c],C01847
focytc6_l[l],C00126
for_c[c],C00058
fpram_c[c],C04640
fprica_c[c],C04734
frdp_c[c],C00448
fum_c[c],C00122
fum_p[p],C00122
fum_e[e],C00122
g1p_c[c],C00103
g1p-B_c[c],C00663
g3p_c[c],C00118
g6p_c[c],C00092
g6p-B_c[c],C01172
gam1p_c[c],C06156
gam6p_c[c],C00352
gar_c[c],C03838
gcald_c[c],C00266
gcarote_c[c],C05435
gdp_c[c],C00035
gdpddman_c[c],C01222
gdpfuc_c[c],C00325
gdpmann_c[c],C00096
ggdp_c[c],C00353
glc-B_c[c],C00221
glc-D_c[c],C00031
glc-D_p[p],C00031
glc-D_e[e],C00031
gln-L_c[c],C00064
gln-L_p[p],C00064
gln-L_e[e],C00064
glntrna_c[c],C02282
glu1sa_c[c],C03741
glu5p_c[c],C03287
glu5sa_c[c],C01165
glucys_c[c],C00669
glu-D_c[c],C00217
glu-L_c[c],C00025
glu-L_p[p],C00025
glu-L_e[e],C00025
glutrd_c[c],C07292
glutrna(gln)_c[c],C06112
glutrna_c[c],C02987
glx_c[c],C00048
gly_c[c],C00037
gly_p[p],C00037
gly_e[e],C00037
glyald_c[c],C00577
glyc_c[c],C00116
glyc3p_c[c],C00093
glyclt_c[c],C00160
glyc-R_c[c],C00258
glytrna_c[c],C02412
gmp_c[c],C00144
grdp_c[c],C00341
gthox_c[c],C00127
gthrd_c[c],C00051
gtocophe_c[c],C02483
gtp_c[c],C00044
h_x[x],C00080
h_c[c],C00080
h_e[e],C00080
h_l[l],C00080
h_p[p],C00080
h2_c[c],C00282
h2_p[p],C00282
h2_e[e],C00282
h2co3_x[x],C01353
h2mb4p_c[c],C11811
h2o_x[x],C00001
h2o_c[c],C00001
h2o_e[e],C00001
h2o_p[p],C00001
h2o_u[u],C00001
h2o_l[l],C00001
h2o2_c[c],C00027
h2s_c[c],C00283
hcn_c[c],C01326
hco3_x[x],C00288
hco3_c[c],C00288
hco3_p[p],C00288
hco3_e[e],C00288
hcys-L_c[c],C00155
hdec_c[c],C00249
hdeceACP_c[c],C16520
hemeA_c[c],C15670
hemeO_c[c],C15672
hexACP_c[c],C05749
hgbam_c[c],C06503
hgbyr_c[c],C06399
hgentis_c[c],C00544
his-L_c[c],C00135
his-L_p[p],C00135
his-L_e[e],C00135
hisp_c[c],C01100
histd_c[c],C00860
histdnl_c[c],C01929
histrna_c[c],C02988
hmbil_c[c],C01024
hmppp9_c[c],C11829
hom-L_c[c],C00263
hpyr_c[c],C00168
photon_e[e],C00205
photon_u[u],C00205
iad_c[c],C02693
ian_c[c],C02938
iasp_c[c],C05840
ichor_c[c],C00885
icit_c[c],C00311
ile-L_c[c],C00407
iletrna_c[c],C03127
imacp_c[c],C01267
imp_c[c],C00130
ind_c[c],C00463
ind3ac_c[c],C00954
inost_c[c],C00137
ipdp_c[c],C00129
k_c[c],C00238
k_p[p],C00238
k_e[e],C00238
lac-D_c[c],C00256
leu-L_c[c],C00123
leu-L_p[p],C00123
leu-L_e[e],C00123
leutrna_c[c],C02047
lgt-S_c[c],C03451
lipidAds_c[c],C04932
lycop_c[c],C05432
lys-L_c[c],C00047
lys-L_p[p],C00047
lys-L_e[e],C00047
lystrna_c[c],C01931
malACP_c[c],C01209
malcoa_c[c],C00083
mal-L_c[c],C00149
mal-L_p[p],C00149
mal-L_e[e],C00149
malt_c[c],C00208
malth_c[c],C01936
man6p_c[c],C00275
man1p_c[c],C00636
mercppyr_c[c],C00957
methf_c[c],C00445
met-L_c[c],C00073
mettrna_c[c],C02430
mg2_c[c],C00305
mg2_p[p],C00305
mg2_e[e],C00305
mi1p-D_c[c],C04006
mlthf_c[c],C00143
mn2_c[c],C00034
mn2_p[p],C00034
mn2_e[e],C00034
mobd_c[c],C06232
mobd_p[p],C06232
mobd_e[e],C06232
mppp9_c[c],C03516
mppp9om_c[c],C04536
mthgxl_c[c],C00546
myrsACP_c[c],C05761
n2o_c[c],C00887
na1_c[c],C01330
na1_p[p],C01330
na1_e[e],C01330
nad_c[c],C00003
nadh_c[c],C00004
nadp_c[c],C00006
nadph_c[c],C00005
neuspn_c[c],C05431
nh3_c[c],C00014
nh4_c[c],C01342
nh4_p[p],C01342
nh4_e[e],C01342
ni2_c[c],C00291
ni2_p[p],C00291
ni2_e[e],C00291
nicnt_c[c],C00253
nicrnt_c[c],C01185
no_c[c],C00533
no2_c[c],C00088
no3_c[c],C00244
no3_p[p],C00244
no3_e[e],C00244
npdp_c[c],C04145
o2_x[x],C00007
o2_c[c],C00007
o2-_c[c],C00704
o2_e[e],C00007
o2_p[p],C00007
o2_l[l],C00007
oaa_c[c],C00036
ocACP_c[c],C05752
ocdcaACP_c[c],C04088
octe(9)ACP_c[c],C01203
octe(9_12)ACP_c[c],C16160
octe(9_12_15)ACP_c[c],C16161
omppp9_c[c],C11830
orot_c[c],C00295
orot5p_c[c],C01103
oxa_c[c],C00209
pad_c[c],C02505
palmACP_c[c],C05764
palmcoa_c[c],C00154
pan4p_c[c],C01134
pant-R_c[c],C00522
pap_c[c],C00054
paps_c[c],C00053
pchlld_c[c],C02880
pcox_p[p],C03162
pcox_l[l],C03162
pcrd_p[p],C03025
