reaction_id,model,db,model_id,is_transp,in_pcm,ec,inChlVirid,uniprGpr,max_evid,evid_brenda,model_gpr,Solanum_lycopersicum,Nicotiana_glauca,Vigna_aconitifolia,Sorghum_bicolor,Triphysaria_versicolor,Vitis_vinifera,Castilleja_foliolosa,Pueraria_montana,Lotus_japonicus,Ipomoea_batatas,Centaurea_solstitialis,Triticum_aestivum,Nicotiana_tabacum,Chlorella_vulgaris,Apostasia_shenzhenica,Genlisea_aurea,Marchantia_polymorpha_subsp._ruderalis,Punica_granatum,Ricinus_communis,Citrus_unshiu,Saccharum_hybrid,Populus_alba_x_Populus_x,Prunus_yedoensis,Tetracentron_sinense,Cucurbita_maxima,Deinandra_increscens,Trifolium_pratense,Eriobotrya_japonica,Medicago_truncatula,Nicotiana_sylvestris,Zea_mays,Prunus_armeniaca,Musa_troglodytarum,Leucosceptrum_canum,Crocus_sativus,Prunus_salicina,Secale_cereale,Tanacetum_cinerariifolium,Handroanthus_impetiginosus,Populus_canescens,Ostreococcus_tauri,Lithospermum_erythrorhizon,Prasiola_cf_delicata,Striga_hermonthica,Physcomitrium_patens,Linum_tenue,Monoraphidium_neglectum,Carpinus_fangiana,Marchantia_polymorpha,Cucumis_sativus,Arabidopsis_thaliana,Mesostigma_viride,Rhododendron_williamsianum,Umbellularia_californica,Citrus_sinensis,Gossypium_hirsutum,Nicotiana_glutinosa,Glycine_max,Trapa_natans,Hevea_brasiliensis,Stylosanthes_scabra,Oryza_sativa,Brassica_campestris,Musa_balbisiana,Brassica_napus,Salvia_divinorum,Lolium_perenne,Solanum_commersonii,Cajanus_cajan,Prasiola_borealis,Humulus_lupulus,Panax_ginseng,Zingiber_officinale,Populus_tomentosa,Pisum_sativum,Cucumis_melo,Glycine_soja,Populus_trichocarpa,Micractinium_conductrix,Cannabis_sativa,Arabidopsis_arenosa,Chlorella_sorokiniana,Cucurbita_moschata,Cinnamomum_camphora,Tetratostichococcus_jenerensis,Populus_alba,pcm_gpr
rxn06403,maize,seed,{'maize': ['rxn06403_d0']},False,False,['3.2.1.21'],[2],"{'Secale cereale (Rye)': 'Q9FYS3', 'Triticum aestivum (Wheat)': 'Q1XIR9 or Q1XH04 or Q1XH05 or D5MTF8', 'Zea mays (Maize)': 'Q41761 or P49235'}",2,True,"('maize', 'GRMZM2G008247_T01.CDS or GRMZM2G426467_T01.CDS or GRMZM2G076946_T02.CDS or GRMZM2G016890_T01.CDS')",,,,,,,,,,,,Q1XIR9 or Q1XH04 or Q1XH05 or D5MTF8,,,,,,,,,,,,,,,,,,,Q41761 or P49235,,,,,,Q9FYS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q41761 or P49235
rxn03872,maize,seed,{'maize': ['rxn03872_d0']},False,False,"['3.1.2.-', '3.7.1.21']","[2, 0]",{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g68280 or At1g35250 or At1g35290 or At1g68260 or At3g25110 or At1g08510 or At4g13050 or At1g06130'},2,False,"('maize', 'GRMZM2G143955_T02.CDS or GRMZM2G007489_T01.CDS or GRMZM2G143955_T01.CDS or GRMZM2G143955_T03.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g68280 or At1g35250 or At1g35290 or At1g68260 or At3g25110 or At1g08510 or At4g13050 or At1g06130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g68280 or At1g35250 or At1g35290 or At1g68260 or At3g25110 or At1g08510 or At4g13050 or At1g06130
rxn38187,maize,seed,{'maize': ['rxn38187_d0']},False,False,['3.6.1.15'],[0],{},0,False,"('maize', 'GRMZM2G175867_T02.CDS or GRMZM2G127230_T02.CDS or GRMZM2G110408_T01.CDS or GRMZM2G162529_T01.CDS or GRMZM2G460396_T01.CDS or GRMZM2G373175_T01.CDS or GRMZM5G866100_T01.CDS or GRMZM2G116634_T01.CDS or GRMZM2G448389_T01.CDS or GRMZM2G113093_T02.CDS or GRMZM2G035338_T02.CDS or GRMZM2G432390_T01.CDS or GRMZM2G113093_T01.CDS or GRMZM2G320325_T02.CDS or GRMZM2G162800_T01.CDS or GRMZM2G163193_T01.CDS or GRMZM2G163193_T04.CDS or GRMZM2G126361_T01.CDS or GRMZM2G373175_T02.CDS or GRMZM2G162800_T02.CDS or GRMZM2G419806_T02.CDS or GRMZM2G142383_T01.CDS or GRMZM2G111511_T01.CDS or GRMZM2G111511_T02.CDS or GRMZM2G069422_T01.CDS or GRMZM2G111511_T03.CDS or GRMZM2G156158_T01.CDS or GRMZM2G320325_T01.CDS or GRMZM2G164649_T03.CDS or GRMZM2G062854_T01.CDS or GRMZM2G320325_T03.CDS or GRMZM2G162968_T01.CDS or GRMZM2G016602_T03.CDS or GRMZM2G087598_T02.CDS or GRMZM2G043453_T02.CDS or GRMZM2G016602_T02.CDS or GRMZM2G389118_T01.CDS or GRMZM2G387383_T01.CDS or GRMZM2G156158_T02.CDS or GRMZM2G175867_T01.CDS or GRMZM5G868168_T03.CDS or GRMZM2G177070_T01.CDS or GRMZM2G113056_T02.CDS or GRMZM2G069422_T02.CDS or GRMZM2G130121_T01.CDS or GRMZM2G072865_T06.CDS or GRMZM2G448142_T01.CDS or GRMZM2G072865_T02.CDS or GRMZM2G385622_T01.CDS or GRMZM2G158024_T02.CDS or GRMZM2G463280_T01.CDS or GRMZM2G156158_T03.CDS or GRMZM2G127230_T01.CDS or GRMZM2G111511_T04.CDS or GRMZM2G463280_T02.CDS or GRMZM2G074103_T02.CDS or GRMZM2G149567_T02.CDS or GRMZM2G058954_T01.CDS or GRMZM5G868168_T01.CDS or GRMZM2G142383_T02.CDS or GRMZM2G074103_T01.CDS or GRMZM2G003984_T01.CDS or GRMZM2G164649_T04.CDS or GRMZM2G351125_T01.CDS or GRMZM2G072865_T04.CDS or GRMZM2G164649_T02.CDS or GRMZM2G009443_T01.CDS or GRMZM2G156069_T01.CDS or GRMZM2G074103_T03.CDS or GRMZM2G074103_T04.CDS or GRMZM2G123922_T01.CDS or GRMZM2G172230_T01.CDS or GRMZM2G158024_T01.CDS or GRMZM2G001084_T01.CDS or GRMZM2G111511_T05.CDS or GRMZM2G016602_T01.CDS or GRMZM2G163193_T02.CDS or GRMZM2G128434_T01.CDS or GRMZM2G448142_T03.CDS or GRMZM2G113056_T01.CDS or GRMZM2G119345_T02.CDS or GRMZM2G164649_T01.CDS or GRMZM2G004040_T01.CDS or GRMZM2G072865_T01.CDS or GRMZM2G162529_T02.CDS or GRMZM2G087598_T03.CDS or GRMZM2G419806_T03.CDS or GRMZM2G126361_T02.CDS or GRMZM2G110408_T02.CDS or GRMZM2G164835_T01.CDS or GRMZM2G072865_T03.CDS or GRMZM2G399212_T01.CDS or GRMZM2G110408_T03.CDS or GRMZM5G868168_T04.CDS or GRMZM2G035338_T01.CDS or GRMZM2G026024_T01.CDS or GRMZM2G048836_T01.CDS or GRMZM2G016602_T04.CDS or GRMZM2G011319_T01.CDS or GRMZM2G348956_T01.CDS or GRMZM2G147819_T01.CDS or GRMZM2G126361_T03.CDS or GRMZM2G444034_T01.CDS or GRMZM2G077361_T01.CDS or GRMZM5G868168_T02.CDS or GRMZM2G162800_T03.CDS or GRMZM2G448142_T02.CDS or GRMZM2G149567_T01.CDS or GRMZM2G419806_T01.CDS or GRMZM2G163193_T03.CDS or GRMZM2G119345_T01.CDS or GRMZM2G011319_T02.CDS or GRMZM2G302233_T01.CDS or GRMZM2G162282_T01.CDS or GRMZM5G808402_T01.CDS or GRMZM2G105570_T01.CDS or GRMZM2G116634_T02.CDS or GRMZM2G072865_T05.CDS or GRMZM2G043453_T01.CDS or GRMZM2G087598_T01.CDS or GRMZM2G026024_T02.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxn24796,maize,seed,{'maize': ['rxn24796_d0']},False,False,['1.14.99.-'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At4g19170 or At3g63520'},2,False,"('maize', 'GRMZM2G074401_T01.CDS or GRMZM2G128971_T02.CDS or GRMZM2G129209_T01.CDS or GRMZM2G128971_T03.CDS or GRMZM2G128971_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At4g19170 or At3g63520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At4g19170 or At3g63520
R00078,"maize, poplar, panAlgae, rice, mintzOron",kegg,"{'maize': ['rxn31826_d0'], 'poplar': ['RXN0_1483_p'], 'panAlgae': ['NanoG1284'], 'rice': ['FERO'], 'mintzOron': ['rxn558_p']}",False,False,['1.16.3.1'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g01600 or At3g11050 or At3g56090 or At2g40300'},2,False,"('maize', 'GRMZM2G325575_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g01600 or At3g11050 or At3g56090 or At2g40300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g01600 or At3g11050 or At3g56090 or At2g40300
R00103,"maize, Sobliquus, poplar",kegg,"{'maize': ['rxn33290_d0'], 'Sobliquus': ['rxn00076_d0'], 'poplar': ['NADPYROPHOSPHAT_RXN_p']}",False,False,"['3.6.1.9', '3.6.1.22']","[0, 2]",{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g20070'},2,True,"('maize', 'GRMZM2G404897_T01.CDS or GRMZM2G062186_T01.CDS or GRMZM2G404897_T04.CDS or GRMZM2G179133_T02.CDS or GRMZM2G404897_T02.CDS or GRMZM2G017532_T01.CDS or GRMZM2G404897_T03.CDS or GRMZM2G017532_T04.CDS or GRMZM2G179133_T01.CDS or GRMZM2G043275_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g20070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g20070
R00118,"maize, rice",kegg,"{'maize': ['rxn00088_d0'], 'rice': ['N2PHs']}",False,False,['3.1.3.108'],[0],{},0,False,"('maize', 'GRMZM5G839422_T01.CDS or GRMZM2G110063_T01.CDS or GRMZM2G110063_T02.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00130,"maize, poplar",kegg,"{'maize': ['rxn00100_d0'], 'poplar': ['DEPHOSPHOCOAKIN_RXN_p']}",False,False,['2.7.1.24'],[0],{},0,False,"('maize', 'GRMZM2G043819_T04.CDS or GRMZM2G043819_T01.CDS or GRMZM2G043819_T02.CDS or GRMZM2G043819_T03.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00134,maize,kegg,{'maize': ['rxn00103_d0']},False,False,['1.17.1.10'],[0],{},0,False,"('maize', 'GRMZM2G085078_T01.CDS or GRMZM2G085078_T02.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00158,"maize, potato, rice, mintzOron",kegg,"{'maize': ['rxn32095_d0'], 'potato': ['UMPKh'], 'rice': ['UMPKs'], 'mintzOron': ['rxn66_p']}",False,False,"['2.7.4.4', '2.7.4.14', '2.7.4.22']","[0, 0, 2]",{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g18680'},2,False,"('maize', 'GRMZM2G139462_T03.CDS or GRMZM2G139462_T01.CDS or GRMZM2G139462_T05.CDS or GRMZM2G139462_T02.CDS or GRMZM2G149535_T01.CDS or GRMZM2G139462_T04.CDS or GRMZM2G139462_T06.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g18680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g18680
R00159,maize,kegg,{'maize': ['rxn38190_d0']},False,False,"['3.6.1.5', '3.6.1.39']","[0, 0]",{},0,False,"('maize', 'GRMZM2G175867_T02.CDS or GRMZM2G127230_T02.CDS or GRMZM2G110408_T01.CDS or GRMZM2G162529_T01.CDS or GRMZM2G460396_T01.CDS or GRMZM2G373175_T01.CDS or GRMZM5G866100_T01.CDS or GRMZM2G116634_T01.CDS or GRMZM2G448389_T01.CDS or GRMZM2G113093_T02.CDS or GRMZM2G035338_T02.CDS or GRMZM2G432390_T01.CDS or GRMZM2G113093_T01.CDS or GRMZM2G320325_T02.CDS or GRMZM2G162800_T01.CDS or GRMZM2G163193_T01.CDS or GRMZM2G163193_T04.CDS or GRMZM2G126361_T01.CDS or GRMZM2G373175_T02.CDS or GRMZM2G162800_T02.CDS or GRMZM2G419806_T02.CDS or GRMZM2G142383_T01.CDS or GRMZM2G111511_T01.CDS or GRMZM2G111511_T02.CDS or GRMZM2G069422_T01.CDS or GRMZM2G111511_T03.CDS or GRMZM2G156158_T01.CDS or GRMZM2G320325_T01.CDS or GRMZM2G164649_T03.CDS or GRMZM2G062854_T01.CDS or GRMZM2G320325_T03.CDS or GRMZM2G162968_T01.CDS or GRMZM2G016602_T03.CDS or GRMZM2G087598_T02.CDS or GRMZM2G043453_T02.CDS or GRMZM2G016602_T02.CDS or GRMZM2G389118_T01.CDS or GRMZM2G387383_T01.CDS or GRMZM2G156158_T02.CDS or GRMZM2G175867_T01.CDS or GRMZM5G868168_T03.CDS or GRMZM2G177070_T01.CDS or GRMZM2G113056_T02.CDS or GRMZM2G069422_T02.CDS or GRMZM2G130121_T01.CDS or GRMZM2G072865_T06.CDS or GRMZM2G448142_T01.CDS or GRMZM2G072865_T02.CDS or GRMZM2G385622_T01.CDS or GRMZM2G158024_T02.CDS or GRMZM2G463280_T01.CDS or GRMZM2G156158_T03.CDS or GRMZM2G127230_T01.CDS or GRMZM2G111511_T04.CDS or GRMZM2G463280_T02.CDS or GRMZM2G074103_T02.CDS or GRMZM2G149567_T02.CDS or GRMZM2G058954_T01.CDS or GRMZM5G868168_T01.CDS or GRMZM2G142383_T02.CDS or GRMZM2G074103_T01.CDS or GRMZM2G003984_T01.CDS or GRMZM2G164649_T04.CDS or GRMZM2G351125_T01.CDS or GRMZM2G072865_T04.CDS or GRMZM2G164649_T02.CDS or GRMZM2G009443_T01.CDS or GRMZM2G156069_T01.CDS or GRMZM2G074103_T03.CDS or GRMZM2G074103_T04.CDS or GRMZM2G123922_T01.CDS or GRMZM2G172230_T01.CDS or GRMZM2G158024_T01.CDS or GRMZM2G001084_T01.CDS or GRMZM2G111511_T05.CDS or GRMZM2G016602_T01.CDS or GRMZM2G163193_T02.CDS or GRMZM2G128434_T01.CDS or GRMZM2G448142_T03.CDS or GRMZM2G113056_T01.CDS or GRMZM2G119345_T02.CDS or GRMZM2G164649_T01.CDS or GRMZM2G004040_T01.CDS or GRMZM2G072865_T01.CDS or GRMZM2G162529_T02.CDS or GRMZM2G087598_T03.CDS or GRMZM2G419806_T03.CDS or GRMZM2G126361_T02.CDS or GRMZM2G110408_T02.CDS or GRMZM2G164835_T01.CDS or GRMZM2G072865_T03.CDS or GRMZM2G399212_T01.CDS or GRMZM2G110408_T03.CDS or GRMZM5G868168_T04.CDS or GRMZM2G035338_T01.CDS or GRMZM2G026024_T01.CDS or GRMZM2G048836_T01.CDS or GRMZM2G016602_T04.CDS or GRMZM2G011319_T01.CDS or GRMZM2G348956_T01.CDS or GRMZM2G147819_T01.CDS or GRMZM2G126361_T03.CDS or GRMZM2G444034_T01.CDS or GRMZM2G077361_T01.CDS or GRMZM5G868168_T02.CDS or GRMZM2G162800_T03.CDS or GRMZM2G448142_T02.CDS or GRMZM2G149567_T01.CDS or GRMZM2G419806_T01.CDS or GRMZM2G163193_T03.CDS or GRMZM2G119345_T01.CDS or GRMZM2G011319_T02.CDS or GRMZM2G302233_T01.CDS or GRMZM2G162282_T01.CDS or GRMZM5G808402_T01.CDS or GRMZM2G105570_T01.CDS or GRMZM2G116634_T02.CDS or GRMZM2G072865_T05.CDS or GRMZM2G043453_T01.CDS or GRMZM2G087598_T01.CDS or GRMZM2G026024_T02.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
