reaction_id,model,db,model_id,is_transp,in_pcm,ec,inChlVirid,uniprGpr,max_evid,evid_brenda,model_gpr,Solanum_lycopersicum,Nicotiana_glauca,Vigna_aconitifolia,Sorghum_bicolor,Triphysaria_versicolor,Vitis_vinifera,Castilleja_foliolosa,Pueraria_montana,Lotus_japonicus,Ipomoea_batatas,Centaurea_solstitialis,Triticum_aestivum,Nicotiana_tabacum,Chlorella_vulgaris,Apostasia_shenzhenica,Genlisea_aurea,Marchantia_polymorpha_subsp._ruderalis,Punica_granatum,Ricinus_communis,Citrus_unshiu,Saccharum_hybrid,Populus_alba_x_Populus_x,Prunus_yedoensis,Tetracentron_sinense,Cucurbita_maxima,Deinandra_increscens,Trifolium_pratense,Eriobotrya_japonica,Medicago_truncatula,Nicotiana_sylvestris,Zea_mays,Prunus_armeniaca,Musa_troglodytarum,Leucosceptrum_canum,Crocus_sativus,Prunus_salicina,Secale_cereale,Tanacetum_cinerariifolium,Handroanthus_impetiginosus,Populus_canescens,Ostreococcus_tauri,Lithospermum_erythrorhizon,Prasiola_cf_delicata,Striga_hermonthica,Physcomitrium_patens,Linum_tenue,Monoraphidium_neglectum,Carpinus_fangiana,Marchantia_polymorpha,Cucumis_sativus,Arabidopsis_thaliana,Mesostigma_viride,Rhododendron_williamsianum,Umbellularia_californica,Citrus_sinensis,Gossypium_hirsutum,Nicotiana_glutinosa,Glycine_max,Trapa_natans,Hevea_brasiliensis,Stylosanthes_scabra,Oryza_sativa,Brassica_campestris,Musa_balbisiana,Brassica_napus,Salvia_divinorum,Lolium_perenne,Solanum_commersonii,Cajanus_cajan,Prasiola_borealis,Humulus_lupulus,Panax_ginseng,Zingiber_officinale,Populus_tomentosa,Pisum_sativum,Cucumis_melo,Glycine_soja,Populus_trichocarpa,Micractinium_conductrix,Cannabis_sativa,Arabidopsis_arenosa,Chlorella_sorokiniana,Cucurbita_moschata,Cinnamomum_camphora,Tetratostichococcus_jenerensis,Populus_alba,pcm_gpr
R00209,"aragem, maize, cam, cam, potato, mintzOron",kegg,"{'aragem': ['R00209_p'], 'maize': ['rxn20656_d0'], 'cam': ['PYRUVDEH_RXN_p2', 'PYRUVDEH_RXN_p1'], 'potato': ['PDHh'], 'mintzOron': ['rxn551_p']}",False,False,['1.2.1.104'],[0],{},0,True,"('aragem', 'AT1G34430 or AT1G48030 or AT1G54220 or AT3G13930 or AT3G16950 or AT3G17240 or AT3G52200 or AT4G16155')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00238,"aragem, maize, poplar, rice",kegg,"{'aragem': ['R00238_p'], 'maize': ['rxn31209_d0'], 'poplar': ['ACETYL_COA_ACETYLTRANSFER_RXN_p'], 'rice': ['ACACTs']}",False,False,"['2.3.1.9', '2.3.1.16']","[0, 0]",{},0,False,"('aragem', 'AT5G48230')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R01624,"aragem, rice",kegg,"{'aragem': ['R01624_p'], 'rice': ['ACOATAs']}",False,False,"['2.3.1.38', '2.3.1.85', '2.3.1.86']","[1, 0, 0]",{'Chlorella sorokiniana (Freshwater green alga)': 'A0A2P6U556'},1,True,"('aragem', 'AT1G62640 or AT2G04540')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2P6U556,,,,,A0A2P6U556
R01641,"aragem, maize, Sobliquus, aracore, panAlgae, potato, Cohadii, rice, mintzOron",kegg,"{'aragem': ['R01641_p'], 'maize': ['rxn27495_d0'], 'Sobliquus': ['rxn01200_d0'], 'aracore': ['STK_h'], 'panAlgae': ['NanoG0518'], 'potato': ['STK_h'], 'Cohadii': ['1TRANSKETO-RXN'], 'rice': ['TKT1s'], 'mintzOron': ['rxn29_p']}",False,False,['2.2.1.1'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g60750 or At2g45290'},2,True,"('aragem', 'AT2G45290 or AT3G60750')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g60750 or At2g45290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g60750 or At2g45290
R02110,"aragem, Cohadii, rice",kegg,"{'aragem': ['R02110_p'], 'Cohadii': ['RXN-7710'], 'rice': ['AGSs']}",False,False,['2.4.1.18'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g03650 or At3g20440 or At2g36390', 'Oryza sativa subsp. japonica (Rice)': 'Os06g0726400 LOC_Os06g51084'}",2,True,"('aragem', 'AT2G36390 or AT5G03650')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g03650 or At3g20440 or At2g36390,,,,,,,,,,,Os06g0726400,,,,,,,,,,,,,,,,,,,,,,,,,At5g03650 or At3g20440 or At2g36390
R02111,"aragem, mintzOron",kegg,"{'aragem': ['R02111_p'], 'mintzOron': ['rxn695_p']}",False,False,['2.4.1.1'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g29320'},2,True,"('aragem', 'AT3G29320 or AT3G46970')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g29320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g29320
R02164,aragem,kegg,{'aragem': ['R02164_p']},False,False,['1.3.5.1'],[1],{'Oryza sativa subsp. japonica (Rice)': 'Os08g0120000'},1,False,"('aragem', 'AT2G18450 or AT3G27380 or AT5G40650 or AT5G65165 or AT5G66760')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Os08g0120000,,,,,,,,,,,,,,,,,,,,,,,,,Os08g0120000
R04355,"aragem, panAlgae, rice",kegg,"{'aragem': ['R04355_p'], 'panAlgae': ['NanoG0785'], 'rice': ['ACMAT1s']}",False,False,"['2.3.1.41', '2.3.1.85', '2.3.1.86', '2.3.1.179']","[2, 0, 0, 0]",{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g74960 or At5g46290'},2,True,"('aragem', 'AT1G62640 or AT2G04540')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g74960 or At5g46290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g74960 or At5g46290
R01788,"aragem, maize, Sobliquus",kegg,"{'aragem': ['R01788_p'], 'maize': ['rxn31313_d0'], 'Sobliquus': ['rxn15250_d0']}",False,False,['3.1.3.9'],[0],{},0,False,"('maize', 'Unknown')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00149,"aragem, maize, rice, mintzOron",kegg,"{'aragem': ['R00149_p'], 'maize': ['rxn31319_d0'], 'rice': ['CBPSs'], 'mintzOron': ['rxn124_p']}",False,False,['6.3.4.16'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g29900', 'Oryza sativa subsp. japonica (Rice)': 'Os01g0570700 LOC_Os01g38970'}",2,False,"('aragem', 'AT1G29900')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g29900,,,,,,,,,,,Os01g0570700,,,,,,,,,,,,,,,,,,,,,,,,,At1g29900
R05875,"aragem, mintzOron",kegg,"{'aragem': ['R05875_p'], 'mintzOron': ['rxn896_p']}",False,False,"['1.18.1.3', '1.18.1.7']","[0, 0]",{},0,False,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00021,"aragem, poplar, cam, cam, soy, aracore, panAlgae, potato, Cohadii, rice, mintzOron",kegg,"{'aragem': ['R00021_p'], 'poplar': ['GLUTAMATE_SYNTHASE_FERREDOXIN_RXN_p'], 'cam': ['GLUTAMATE_SYNTHASE_FERREDOXIN_RXN_p2', 'GLUTAMATE_SYNTHASE_FERREDOXIN_RXN_p1'], 'soy': ['GLUTAMATE-SYNTHASE-FERREDOXIN-RXN_p'], 'aracore': ['GluSFd_h'], 'panAlgae': ['NanoG0007'], 'potato': ['GluSFd_h'], 'Cohadii': ['GLUTAMATE-SYNTHASE-FERREDOXIN-RXN'], 'rice': ['GLUSfs'], 'mintzOron': ['rxn331_p']}",False,True,['1.4.7.1'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At2g41220 or At5g04140', 'Oryza sativa subsp. japonica (Rice)': 'Os07g0658400 LOC_Os07g46460'}",2,True,"('aragem', 'AT2G41220 or AT5G04140')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g41220 or At5g04140,,,,,,,,,,,Os07g0658400,,,,,,,,,,,,,,,,,,,,,,,,,At2g41220 or At5g04140
R00024,"aragem, maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, Cohadii, rice, rice, mintzOron",kegg,"{'aragem': ['R00024_p'], 'maize': ['rxn20788_d0'], 'Sobliquus': ['rxn00018_d0'], 'poplar': ['RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p'], 'cam': ['RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p1', 'RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p2'], 'soy': ['RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN_p'], 'aracore': ['RBC_h'], 'panAlgae': ['NanoG0589'], 'potato': ['RBC_h'], 'Cohadii': ['RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN'], 'rice': ['RBPCs', 'RBPC2s'], 'mintzOron': ['rxn1050_p']}",False,True,['4.1.1.39'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'AtCg00490', 'Cucumis sativus (Cucumber)': 'CsCp048', 'Oryza sativa subsp. japonica (Rice)': 'LOC_Osp1g00420'}",2,True,"('aragem', 'ARTHCP030 or AT1G67090 or AT5G38410 or AT5G38420 or AT5G38430')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CsCp048,AtCg00490,,,,,,,,,,,LOC_Osp1g00420,,,,,,,,,,,,,,,,,,,,,,,,,AtCg00490
R00028,"aragem, potato, rice",kegg,"{'aragem': ['R00028_p'], 'potato': ['MALTh'], 'rice': ['MGHs']}",False,True,['3.2.1.20'],[0],{},0,True,"('aragem', 'AT3G45940 or AT5G11720 or AT5G63840')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00200,"aragem, maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, panAlgae, panAlgae, panAlgae, potato, rice, mintzOron",kegg,"{'aragem': ['R00200_p'], 'maize': ['rxn20509_d0'], 'Sobliquus': ['rxn00148_d0'], 'poplar': ['PEPDEPHOS_RXN_p'], 'cam': ['PEPDEPHOS_RXN_p2', 'PEPDEPHOS_RXN_p1'], 'soy': ['PEPDEPHOS-RXN_p'], 'aracore': ['PyrK_h'], 'panAlgae': ['NanoG0428', 'NanoG0434', 'NanoG0431', 'NanoG0425'], 'potato': ['PyrK_h'], 'rice': ['PYKs'], 'mintzOron': ['rxn503_p']}",False,True,['2.7.1.40'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g49160 or At5g52920 or At1g32440 or At3g22960'},2,True,"('aragem', 'AT1G32440 or AT3G04050 or AT3G25960 or AT3G49160 or AT3G52990 or AT3G55650 or AT3G55810 or AT4G26390 or AT5G08570 or AT5G52920 or AT5G56350 or AT5G63680')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g49160 or At5g52920 or At1g32440 or At3g22960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g49160 or At5g52920 or At1g32440 or At3g22960
R00206,"aragem, maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice",kegg,"{'aragem': ['R00206_p'], 'maize': ['rxn20655_d0'], 'Sobliquus': ['rxn00151_d0'], 'poplar': ['PYRUVATEORTHOPHOSPHATE_DIKINASE_RXN_p'], 'cam': ['PYRUVATEORTHOPHOSPHATE_DIKINASE_RXN_p1', 'PYRUVATEORTHOPHOSPHATE_DIKINASE_RXN_p2'], 'soy': ['PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN_p'], 'aracore': ['PyrPiDK_h'], 'panAlgae': ['NanoG0544'], 'potato': ['PyrPiDK_h'], 'rice': ['PPDKs']}",False,True,['2.7.9.1'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At4g15530', 'Oryza sativa subsp. japonica (Rice)': 'Os05g0405000 LOC_Os05g33570'}",2,True,"('aragem', 'AT4G15530')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At4g15530,,,,,,,,,,,Os05g0405000,,,,,,,,,,,,,,,,,,,,,,,,,At4g15530
R00216,"aragem, maize, Sobliquus, cam, cam, soy, panAlgae, rice",kegg,"{'aragem': ['R00216_p'], 'maize': ['rxn27982_d0'], 'Sobliquus': ['rxn00161_d0'], 'cam': ['MALIC_NADP_RXN_p2', 'MALIC_NADP_RXN_p1'], 'soy': ['MALIC-NADP-RXN_p'], 'panAlgae': ['NanoG0542'], 'rice': ['MDH2s']}",False,True,['1.1.1.40'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g79750', 'Oryza sativa subsp. japonica (Rice)': 'Os01g0188400 LOC_Os01g09320'}",2,True,"('aragem', 'AT4G00570')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g79750,,,,,,,,,,,Os01g0188400,,,,,,,,,,,,,,,,,,,,,,,,,At1g79750
R00253,"aragem, maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'aragem': ['R00253_p'], 'maize': ['rxn19835_d0'], 'Sobliquus': ['rxn00187_d0'], 'poplar': ['GLUTAMINESYN_RXN_p'], 'cam': ['GLUTAMINESYN_RXN_p1', 'GLUTAMINESYN_RXN_p2'], 'soy': ['GLUTAMINESYN-RXN_p'], 'aracore': ['GlnS_h'], 'panAlgae': ['NanoG0009'], 'potato': ['GlnS_h'], 'rice': ['GALs'], 'mintzOron': ['rxn335_p']}",False,True,['6.3.1.2'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g35630', 'Oryza sativa subsp. japonica (Rice)': 'Os04g0659100 LOC_Os04g56400'}",2,True,"('aragem', 'AT1G48470 or AT3G17820 or AT5G35630 or AT5G37600')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g35630,,,,,,,,,,,Os04g0659100,,,,,,,,,,,,,,,,,,,,,,,,,At5g35630
R00258,"aragem, maize, Sobliquus, poplar, aracore, potato, rice, mintzOron",kegg,"{'aragem': ['R00258_p'], 'maize': ['rxn31211_d0'], 'Sobliquus': ['rxn00191_d0'], 'poplar': ['ALANINE_AMINOTRANSFERASE_RXN_p'], 'aracore': ['AlaTA_h'], 'potato': ['AlaTA_h'], 'rice': ['ALAATs'], 'mintzOron': ['rxn165_p']}",False,True,['2.6.1.2'],[0],{},0,False,"('aragem', 'AT1G70580')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00342,"aragem, maize, Sobliquus, cam, cam, soy, aracore, potato, rice, mintzOron",kegg,"{'aragem': ['R00342_p'], 'maize': ['rxn23652_d0'], 'Sobliquus': ['rxn00248_d0'], 'cam': ['MALATE_DEH_RXN_p1', 'MALATE_DEH_RXN_p2'], 'soy': ['MALATE-DEH-RXN_p'], 'aracore': ['MalDH1_h'], 'potato': ['MalDH1_h'], 'rice': ['MDHs'], 'mintzOron': ['rxn436_p']}",False,True,"['1.1.1.37', '1.1.1.299']","[2, 0]",{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g47520'},2,True,"('aragem', 'AT1G04410 or AT1G53240 or AT2G22780 or AT3G15020 or AT3G47520 or AT5G09660 or AT5G43330 or AT5G56720 or AT5G58330')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g47520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g47520
R00343,"aragem, maize, soy, aracore, panAlgae, rice, mintzOron",kegg,"{'aragem': ['R00343_p'], 'maize': ['rxn20158_d0'], 'soy': ['MALATE-DEHYDROGENASE-NADP+-RXN_p'], 'aracore': ['MalDH3_h'], 'panAlgae': ['NanoG1708'], 'rice': ['MDHys'], 'mintzOron': ['rxn437_p']}",False,True,"['1.1.1.82', '1.1.1.299']","[2, 0]",{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g58330'},2,True,"('maize', 'GRMZM2G129513_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g58330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g58330
R00355,"aragem, maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'aragem': ['R00355_p'], 'maize': ['rxn27719_d0'], 'Sobliquus': ['rxn00260_d0'], 'poplar': ['ASPAMINOTRANS_RXN_p'], 'cam': ['ASPAMINOTRANS_RXN_p2', 'ASPAMINOTRANS_RXN_p1'], 'soy': ['ASPAMINOTRANS-RXN_p'], 'aracore': ['AspAT_h'], 'panAlgae': ['NanoG0003'], 'potato': ['AspAT_h'], 'rice': ['ASPTAs'], 'mintzOron': ['rxn189_p']}",False,True,['2.6.1.1'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At4g31990 or At5g11520 or At2g22250'},2,True,"('aragem', 'AT1G62800 or AT2G30970 or AT4G31990 or AT5G11520 or AT5G19550')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At4g31990 or At5g11520 or At2g22250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At4g31990 or At5g11520 or At2g22250
R00658,"aragem, maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'aragem': ['R00658_p'], 'maize': ['rxn17748_d0'], 'Sobliquus': ['rxn00459_d0'], 'poplar': ['2PGADEHYDRAT_RXN_p'], 'cam': ['2PGADEHYDRAT_RXN_p2', '2PGADEHYDRAT_RXN_p1'], 'soy': ['2PGADEHYDRAT-RXN_p'], 'aracore': ['Enol_h'], 'panAlgae': ['NanoG0406'], 'potato': ['Enol_h'], 'rice': ['ENOs'], 'mintzOron': ['rxn84_p']}",False,True,['4.2.1.11'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g74030'},2,True,"('aragem', 'AT1G74030 or AT2G36530')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g74030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g74030
R00742,"aragem, maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'aragem': ['R00742_p'], 'maize': ['rxn27668_d0'], 'Sobliquus': ['rxn00533_d0'], 'poplar': ['ACETYL_COA_CARBOXYLTRANSFER_RXN_p'], 'cam': ['ACETYL_COA_CARBOXYLTRANSFER_RXN_p1', 'ACETYL_COA_CARBOXYLTRANSFER_RXN_p2'], 'soy': ['ACETYL-COA-CARBOXYLTRANSFER-RXN_p'], 'aracore': ['ACoAC_h'], 'panAlgae': ['NanoG0802'], 'potato': ['ACoAC_h'], 'rice': ['ACCOACs'], 'mintzOron': ['rxn137_p']}",False,True,['6.4.1.2'],[0],{},0,True,"('aragem', 'AT1G36160 or AT2G38040')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00762,"aragem, aragem, maize, maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, Cohadii, rice, mintzOron, mintzOron",kegg,"{'aragem': ['R04780_p', 'R00762_p'], 'maize': ['rxn19684_d0', 'rxn31218_d0'], 'Sobliquus': ['rxn15494_d0'], 'poplar': ['F16BDEPHOS_RXN_p'], 'cam': ['F16BDEPHOS_RXN_p2', 'F16BDEPHOS_RXN_p1'], 'soy': ['F16BDEPHOS-RXN_p'], 'aracore': ['FBPase_h'], 'panAlgae': ['NanoG0591'], 'potato': ['FBPase_h'], 'Cohadii': ['F16BDEPHOS-RXN'], 'rice': ['FBPs'], 'mintzOron': ['rxn284_p', 'rxn837_p']}",False,True,['3.1.3.11'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g54050', 'Oryza sativa subsp. japonica (Rice)': 'Os03g0267300 LOC_Os03g16050'}",2,True,"('aragem', 'AT1G43670 or AT3G54050 or AT1G43670 or AT3G54050')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g54050,,,,,,,,,,,Os03g0267300,,,,,,,,,,,,,,,,,,,,,,,,,At3g54050
R04780,"aragem, aragem, maize, maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, Cohadii, rice, mintzOron, mintzOron",kegg,"{'aragem': ['R04780_p', 'R00762_p'], 'maize': ['rxn19684_d0', 'rxn31218_d0'], 'Sobliquus': ['rxn15494_d0'], 'poplar': ['F16BDEPHOS_RXN_p'], 'cam': ['F16BDEPHOS_RXN_p2', 'F16BDEPHOS_RXN_p1'], 'soy': ['F16BDEPHOS-RXN_p'], 'aracore': ['FBPase_h'], 'panAlgae': ['NanoG0591'], 'potato': ['FBPase_h'], 'Cohadii': ['F16BDEPHOS-RXN'], 'rice': ['FBPs'], 'mintzOron': ['rxn284_p', 'rxn837_p']}",False,True,['3.1.3.11'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g54050', 'Oryza sativa subsp. japonica (Rice)': 'Os03g0267300 LOC_Os03g16050'}",2,True,"('aragem', 'AT1G43670 or AT3G54050 or AT1G43670 or AT3G54050')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g54050,,,,,,,,,,,Os03g0267300,,,,,,,,,,,,,,,,,,,,,,,,,At3g54050
R00790,"aragem, maize, poplar, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'aragem': ['R00790_p'], 'maize': ['rxn35317_d0'], 'poplar': ['FERREDOXIN__NITRITE_REDUCTASE_RXN_p'], 'soy': ['FERREDOXIN--NITRITE-REDUCTASE-RXN_p'], 'aracore': ['NO2R_h'], 'panAlgae': ['NanoG0605'], 'potato': ['NO2R_h'], 'rice': ['NO2Rs'], 'mintzOron': ['rxn288_p']}",False,True,['1.7.7.1'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At2g15620', 'Oryza sativa subsp. japonica (Rice)': 'Os01g0357100 LOC_Os01g25484'}",2,True,"('aragem', 'AT2G15620')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g15620,,,,,,,,,,,Os01g0357100,,,,,,,,,,,,,,,,,,,,,,,,,At2g15620
R00948,"aragem, maize, poplar, cam, cam, soy, aracore, potato, rice, mintzOron",kegg,"{'aragem': ['R00948_p'], 'maize': ['rxn19776_d0'], 'poplar': ['GLUC1PADENYLTRANS_RXN_p'], 'cam': ['GLUC1PADENYLTRANS_RXN_p2', 'GLUC1PADENYLTRANS_RXN_p1'], 'soy': ['GLUC1PADENYLTRANS-RXN_p'], 'aracore': ['AGPase_h'], 'potato': ['AGPase_h'], 'rice': ['GLPATs'], 'mintzOron': ['rxn319_p']}",False,True,['2.7.7.27'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g19220 or At4g39210 or At1g27680 or At5g48300 or At2g21590', 'Oryza sativa subsp. japonica (Rice)': 'Os09g0298200 LOC_Os09g12660 or Os03g0735000 LOC_Os03g52460 or Os08g0345800 LOC_Os08g25734 or Os05g0580000 LOC_Os05g50380 or Os07g0243200 LOC_Os07g13980'}",2,True,"('aragem', 'AT1G05610 or AT1G27680 or AT4G39210 or AT5G19220 or AT5G48300')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g19220 or At4g39210 or At1g27680 or At5g48300 or At2g21590,,,,,,,,,,,Os09g0298200 or Os03g0735000 or Os08g0345800 or Os05g0580000 or Os07g0243200,,,,,,,,,,,,,,,,,,,,,,,,,At5g19220 or At4g39210 or At1g27680 or At5g48300 or At2g21590
R00959,"aragem, maize, Sobliquus, panAlgae, mintzOron",kegg,"{'aragem': ['R00959_p'], 'maize': ['rxn20583_d0'], 'Sobliquus': ['rxn20583_d0'], 'panAlgae': ['NanoG0417'], 'mintzOron': ['rxn516_p']}",False,True,"['5.4.2.2', '5.4.2.5']","[2, 0]","{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g51820', 'Marchantia polymorpha (Common liverwort) (Marchantia aquatica)': 'Mapoly0202s0014 MARPO_0202s0014'}",2,True,"('maize', 'GRMZM2G025854_T03.CDS or GRMZM2G025854_T01.CDS or GRMZM2G025854_T04.CDS or GRMZM2G025854_T02.CDS or GRMZM2G069676_T03.CDS or GRMZM2G025854_T05.CDS or GRMZM2G069676_T02.CDS or GRMZM2G067908_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapoly0202s0014 MARPO_0202s0014,,At5g51820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g51820
R01015,"aragem, maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'aragem': ['R01015_p'], 'maize': ['rxn27386_d0'], 'Sobliquus': ['rxn00747_d0'], 'poplar': ['TRIOSEPISOMERIZATION_RXN_p'], 'cam': ['TRIOSEPISOMERIZATION_RXN_p1', 'TRIOSEPISOMERIZATION_RXN_p2'], 'soy': ['TRIOSEPISOMERIZATION-RXN_p'], 'aracore': ['TPI_h'], 'panAlgae': ['NanoG0401'], 'potato': ['TPI_h'], 'rice': ['TPIs'], 'mintzOron': ['rxn1582_p']}",False,True,['5.3.1.1'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At2g21170'},2,True,"('aragem', 'AT2G21170 or AT3G55440')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g21170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g21170
